"method","biotic","sel","bag_site","event","spearman_surv","spearman_surv_pval","spearman_surv_rank","spearman_surv_rank_pval","r2_surv","r2_surv_rank","spearman_len","spearman_len_pval","spearman_len_rank","spearman_len_rank_pval","r2_len","r2_len_rank","signif_surv","signif_len"
"lea","nb","sel","Lewisetta",4,-0.325752301245495,0.120331976178313,-0.404761904761905,0.049767380050613,0.223680182253299,0.119796346211441,-0.690910122802945,0.000185591794339102,-0.761904761904762,1.51942653894391e-05,0.186330352880907,0.590964590964591,FALSE,TRUE
"lea","nb","sel","YorkRiver",4,-0.251997788786856,0.257904351842884,-0.11404011461318,0.613329585772909,0.148531658767865,0.0169195229742155,-0.588753298858681,0.00394342519840812,-0.69512893982808,0.000329574294746972,0.233846873083978,0.430512809522158,FALSE,TRUE
"gf_af","nb","sel","Lewisetta",4,-0.325752301245495,0.120331976178313,-0.404761904761905,0.049767380050613,0.121329884025808,0.119796346211441,-0.690910122802945,0.000185591794339102,-0.761904761904762,1.51942653894391e-05,0.164026516370083,0.590964590964591,FALSE,TRUE
"gf_af","nb","sel","YorkRiver",4,-0.223555600436195,0.317265295073711,0.0830945558739255,0.713145832256648,0.0651612929976449,0.0184069280536411,-0.538695047361518,0.00969052620884539,0.468194842406877,0.0279800565542644,0.221665577163529,0.248874649533712,FALSE,TRUE
"gf_geno","nb","sel","Lewisetta",4,-0.0683029018740554,0.751150957709325,-0.142857142857143,0.505460959550244,0.0253985014428006,0.00748727163821503,-0.417698515306723,0.0422569231792971,-0.5,0.0128454209680058,0.0357533037169357,0.256715506715507,FALSE,TRUE
"gf_geno","nb","sel","YorkRiver",4,-0.229244038106327,0.304781176227632,0.0934097421203438,0.679268149146617,0.0661477383565513,3.47014254651543e-05,-0.645637675560003,0.00117324962576107,0.282521489971347,0.202686115923808,0.272337288199292,0.094045820480188,FALSE,TRUE
"rda","nb","sel","Lewisetta",4,-0.115589526248401,0.590680933005546,-0.0952380952380952,0.658003819481187,0.106811355682359,0.0146750524109015,-0.344141544057741,0.0996229135062935,-0.404761904761905,0.049767380050613,0.0324207615030786,0.134615384615385,FALSE,FALSE
"rda","nb","sel","YorkRiver",4,-0.356665041917288,0.10323671810714,-0.272206303724928,0.220372003403087,0.168025723515747,0.106695788021387,-0.289541477409728,0.191211230245245,-0.420057306590258,0.0516114134668154,0.0755231797691437,0.176469067012273,FALSE,FALSE
"env_dist","nb","sel","Lewisetta",4,-0.165503185310211,0.439601496767015,-0.238095238095238,0.262559273750359,0.0553103210398002,0.0362383947289608,-0.559558388429761,0.00446849817594389,-0.619047619047619,0.00125864167339791,0.0986044555770277,0.395604395604396,FALSE,TRUE
"env_dist","nb","sel","YorkRiver",4,-0.189424974415402,0.398500376264968,-0.0212034383954155,0.925381003292485,0.0369653110675236,0.00699719543079393,-0.470433795319932,0.0271393398246802,-0.530085959885387,0.011162118886645,0.172129411823592,0.276017682346475,FALSE,TRUE
