"method","biotic","sel","bag_site","event","kendall_surv","kendall_surv_pval","r2_surv","r2_surv_rank","kendall_len","kendall_len_pval","r2_len","r2_len_rank","signif_surv","signif_len","p_adj_surv","p_adj_len","signif_surv_adj","signif_len_adj"
"lea","b","ns","Lewisetta",4,-0.535769671261739,0.0030393346977047,0.489126703311194,0.563169642857143,-0.59143405269153,0.00106921275491937,0.147238814538579,0.757032967032967,TRUE,TRUE,0.055576405900886,0.0114049360524733,FALSE,TRUE
"lea","b","ns","YorkRiver",4,-0.106399035319786,0.58257020399323,0.0356682693321762,0.00121839780688395,-0.177331725532977,0.359636881555037,0.0395542737172094,0.111728805365883,FALSE,FALSE,0.847374842171971,0.517520245856311,FALSE,FALSE
"gf_geno","b","ns","Lewisetta",4,-0.0347902383936194,0.847389659686714,0.0305351417608395,0.0241071428571429,-0.285279954827679,0.114544766205117,0.0193144473904452,0.112527472527473,FALSE,FALSE,0.943181534259995,0.248503899563644,FALSE,FALSE
"gf_geno","b","ns","YorkRiver",4,-0.319197105959359,0.0991675074877558,0.0477495778049975,1.60992021473676e-32,-0.248264415746168,0.19967427621136,0.037576478381163,0.174433629080886,FALSE,FALSE,0.50773763833731,0.359976159930339,FALSE,FALSE
"rda","b","ns","Lewisetta",4,-0.410524813044709,0.023152362663758,0.419234213711355,0.25679347826087,-0.521853575904291,0.00389241712277863,0.199122671770566,0.355566172957477,TRUE,TRUE,0.164639023386723,0.0240590537768708,FALSE,TRUE
"rda","b","ns","YorkRiver",4,-0.425596141279145,0.0279108366998985,0.291934700369721,0.393232827572834,-0.141865380426382,0.463652495869384,0.000985804314929271,0.198745997095791,TRUE,FALSE,0.188030899873,0.61306670917638,FALSE,FALSE
"env_dist","b","ns","Lewisetta",4,-0.160035096610649,0.376010803629976,0.0956954758177107,0.0241071428571429,-0.410524813044709,0.023152362663758,0.158421064254702,0.464285714285714,FALSE,TRUE,0.731901505919366,0.0871618359106182,FALSE,FALSE
"env_dist","b","ns","YorkRiver",4,-0.0177331725532977,0.927011304686917,0.00111278459568333,7.5306875517734e-05,0.124132207873084,0.521366727700155,0.0979818678739192,0.0204520668688468,FALSE,FALSE,0.949259575999403,0.635570868053522,FALSE,FALSE
"lea","nb","ns","Lewisetta",4,-0.160035096610649,0.376010803629976,0.138299965681972,0.000506756756756764,-0.410524813044709,0.023152362663758,0.052417227579588,0.309438669438669,FALSE,TRUE,0.731901505919366,0.0871618359106182,FALSE,FALSE
"lea","nb","ns","YorkRiver",4,-0.212798070639573,0.271650893822139,0.168413779298592,0.0264754550468836,-0.141865380426382,0.463652495869384,0.00513909881969824,0.0805704489915016,FALSE,FALSE,0.731901505919366,0.61306670917638,FALSE,FALSE
"gf_geno","nb","ns","Lewisetta",4,-0.0347902383936194,0.847389659686714,0.00388761845212931,0.0582298136645962,-0.285279954827679,0.114544766205117,0.0240398774886624,0.0462494027711419,FALSE,FALSE,0.943181534259995,0.248503899563644,FALSE,FALSE
"gf_geno","nb","ns","YorkRiver",4,-0.0531995176598931,0.783456708033683,0.0257650315907607,0.00582402772429725,-0.23053124319287,0.233702898814878,0.0305224663836919,0.209151325338018,FALSE,FALSE,0.924886553953043,0.398852947310725,FALSE,FALSE
"rda","nb","ns","Lewisetta",4,0.0765385244659627,0.672010595680848,0.0479430217946817,0.0372670807453416,-0.0347902383936194,0.847389659686714,0.0011921395347789,0.000382226469182991,FALSE,FALSE,0.908915584883226,0.874724809999189,FALSE,FALSE
"rda","nb","ns","YorkRiver",4,-0.212798070639573,0.271650893822139,0.151589079000482,0.0984626449698822,0.0709326902131909,0.714049541974307,0.0109548266465272,0.0107902762667428,FALSE,FALSE,0.731901505919366,0.797576193683478,FALSE,FALSE
"env_dist","nb","ns","Lewisetta",4,-0.0347902383936194,0.847389659686714,0.00169199063175233,0.0241071428571429,-0.285279954827679,0.114544766205117,0.00120922372251844,0.112527472527473,FALSE,FALSE,0.943181534259995,0.248503899563644,FALSE,FALSE
"env_dist","nb","ns","YorkRiver",4,-0.0177331725532977,0.927011304686917,0.00876293408222881,0.0101204416192707,0.124132207873084,0.521366727700155,0.021348256563043,0.0032521404393708,FALSE,FALSE,0.949259575999403,0.635570868053522,FALSE,FALSE
