"method","biotic","sel","bag_site","event","pearson_surv","pearson_surv_pval","pearson_surv_rank","pearson_surv_rank_pval","spearman_surv","spearman_surv_pval","spearman_surv_rank","spearman_surv_rank_pval","kendall_surv","kendall_surv_pval","kendall_surv_rank","kendall_surv_rank_pval","r2_surv","r2_surv_rank","pearson_len","pearson_len_pval","pearson_len_rank","pearson_len_rank_pval","spearman_len","spearman_len_pval","spearman_len_rank","spearman_len_rank_pval","kendall_len","kendall_len_pval","kendall_len_rank","kendall_len_rank_pval","r2_len","r2_len_rank","signif_surv","signif_len"
"gf_geno","b","sel","YorkRiver",1,0.169269872566746,0.429111966030532,0.615213748316257,0.00137610403588765,0.133978769060647,0.532532705463244,0.571428571428572,0.00353586676976892,0.0985867469585462,0.515166544558988,0.428571428571429,0.00639637370457417,0.0286522897587625,0.378487956117338,-0.281357086631016,0.182901722322398,0.0368855556781659,0.864135046921228,-0.412444445931796,0.0451915888795381,0.0476190476190476,0.825126628569084,-0.257842261276198,0.0887311900372926,0,1,0.0791618101974928,0.00136054421768706,FALSE,TRUE
"gf_geno","b","sel","YorkRiver",2,0.117621036354089,0.584125814568535,0.403932805532135,0.0502820174514126,-0.00262703468746367,0.990279832491118,0.404761904761905,0.0497673800506128,0.0227507877596645,0.880616409651966,0.285714285714286,0.0690907974580714,0.01383470819301,0.163161711385062,-0.195595992018353,0.35968868181618,0.15575223949535,0.467380830088644,-0.438714792806433,0.0319845686295564,0.19047619047619,0.372646891549697,-0.242675069436421,0.109154778516566,0.214285714285714,0.172766190477016,0.0382577920936433,0.0242587601078167,FALSE,TRUE
"gf_geno","b","sel","YorkRiver",3,-0.226587421374286,0.287005057963335,0.272639270636399,0.19742073530062,-0.412444445931796,0.0451915888795381,0.380952380952381,0.0662678785931186,-0.280593049035862,0.0639803382127558,0.285714285714286,0.0690907974580714,0.0513418595250482,0.0743321718931475,-0.688596565133613,0.000199015090232938,0.391918951539823,0.0582141397630818,-0.774975232801782,8.7257550723011e-06,0.452380952380952,0.0264495222027079,-0.553602502151836,0.000257612295368116,0.357142857142857,0.023069485688115,0.474165229513811,0.153600464576074,TRUE,TRUE
"gf_geno","b","sel","YorkRiver",4,-0.24418909853856,0.273439186526627,0.0132729659887001,0.953251560285864,-0.422650918890822,0.0500375151225423,0.0418338108882521,0.85335085989409,-0.285360154757648,0.0728664567249499,-0.004739336492891,0.977078974379352,0.0596283158450743,0.000176171626137186,-0.52370199785542,0.0123674871592354,0.417211199347286,0.0533822012218942,-0.616057799675316,0.00226747904775166,0.38567335243553,0.0762798844969278,-0.457482152865436,0.00403311275357527,0.194312796208531,0.238804934377083,0.274263782557759,0.174065184860801,FALSE,TRUE
"rda","b","sel","Lewisetta",1,-0.469491315794097,0.0206323744229356,-0.492056280281487,0.0145906400649039,-0.412444445931796,0.0451915888795381,-0.476190476190476,0.0186585829560597,-0.310927432715415,0.0401145602618144,-0.428571428571429,0.00639637370457417,0.220422095606072,0.242119382964453,-0.477734325410088,0.0182262173781281,-0.585672864468065,0.00263888042763337,-0.409817411244332,0.0467175810124694,-0.547619047619048,0.00560724574649464,-0.273009453115974,0.0715054164448744,-0.428571428571429,0.00639637370457417,0.228230085675032,0.343012704174229,TRUE,TRUE
"rda","b","sel","Lewisetta",2,-0.435683065292183,0.0333293122080246,-0.371200351791297,0.074122611420502,-0.307363058433249,0.144009480991668,-0.30952380952381,0.141067424870559,-0.235091473516533,0.120676307860416,-0.285714285714286,0.0690907974580714,0.189819733382393,0.137789701169983,-0.48275885061226,0.0168751427439968,-0.54848728577168,0.00551696573195018,-0.446595896868824,0.0286902624973245,-0.571428571428572,0.0035358667697689,-0.333678220475079,0.0276120096503322,-0.428571428571429,0.00639637370457417,0.23305610784447,0.300838302653185,FALSE,TRUE
"rda","b","sel","Lewisetta",3,-0.450312278855143,0.0272340511469077,-0.39803350093256,0.0540644831432278,-0.273211607496222,0.196444197943384,-0.333333333333333,0.111445944451059,-0.212340685756869,0.160988931812515,-0.357142857142857,0.023069485688115,0.202781148487712,0.15843066786463,-0.375305135451578,0.0707345526765137,-0.187238966878861,0.380977155648321,-0.249568295309049,0.239560493808184,-0.142857142857143,0.505460959550244,-0.204757089836981,0.176474290774069,-0.142857142857143,0.363396165100604,0.140853944696327,0.0350584307178631,FALSE,FALSE
"rda","b","sel","Lewisetta",4,-0.410840685404046,0.046118462144611,-0.363421892155815,0.0808792819401594,-0.228552017809339,0.282733898016142,-0.285714285714286,0.175928159198558,-0.189589897997204,0.210728255863709,-0.285714285714286,0.0690907974580714,0.168790068783266,0.132075471698113,-0.217334303193095,0.307663199581446,-0.174714139453653,0.414192813918575,-0.160249115935284,0.454458810485496,-0.19047619047619,0.372646891549696,-0.16683911023754,0.270732357488891,-0.142857142857143,0.363396165100604,0.0472341993444281,0.0305250305250306,FALSE,FALSE
"rda","b","sel","YorkRiver",1,0.336084642624047,0.108343216621477,0.347729509917884,0.0959116476930805,0.296854919683395,0.158941848389552,0.404761904761905,0.0497673800506128,0.16683911023754,0.270732357488891,0.214285714285714,0.172766190477016,0.112952887007734,0.120915812067732,-0.120177278891789,0.575922604297801,-0.147542222712663,0.491452547808243,-0.12872469968572,0.548867843936894,-0.142857142857143,0.505460959550244,-0.159255514317652,0.29311395567331,-0.214285714285714,0.172766190477016,0.0144425783618348,0.0217687074829932,FALSE,FALSE
"rda","b","sel","YorkRiver",2,0.248419855625419,0.241801090209218,0.314169959858327,0.134887238061662,0.202281670934702,0.343169590255817,0.357142857142857,0.0866644014883433,0.091003151038658,0.548005572361309,0.214285714285714,0.172766190477016,0.0617124246689543,0.0987027636773829,-0.0497352557256156,0.817479963215987,-0.173058043883722,0.418700584335924,-0.191773532184848,0.369338172596559,-0.0714285714285714,0.740137923852107,-0.174422706157428,0.249551183213353,-0.142857142857143,0.363396165100604,0.00247359566209237,0.0299490865528602,FALSE,FALSE
