"pearson_mort","pearson_mort_pval","spearman_mort","spearman_mort_pval","kendall_mort","kendall_mort_pval","r2_mort","r2_mort_rankings","pearson_len","pearson_len_pval","spearman_len","spearman_len_pval","kendall_len","kendall_len_pval","r2_len","r2_len_rankings","method","bag_site","event","signif_surv","signif_len"
-0.441957930859963,0.0305942662942386,-0.417698515306723,0.0422569231792971,0.357142857142857,0.0452304784192146,0.19532681265002,0.257491248391862,-0.625644948307645,0.00107657683733637,-0.690910122802945,0.000185591794339102,0.571428571428571,0.000795961424972523,0.391431601342876,0.526553988774664,"gf","Lewisetta",3,TRUE,TRUE
-0.465585852349768,0.0218589539928045,-0.47286624374346,0.019617884786431,0.428571428571429,0.0242706403770022,0.21677018590826,0.334970344451362,-0.510864165862523,0.0107397900456156,-0.746077851239682,2.84421500987164e-05,0.714285714285714,0.000457666245242978,0.260982195962412,0.742948413321049,"gf","Lewisetta",4,TRUE,TRUE
0.0129423405215865,0.952138279130322,0.309990093120713,0.140438214768357,-0.357142857142857,0.0571215639940019,0.000167504178176703,5.56365512304192e-05,0.174334111768698,0.415224853643251,0.244314225934121,0.249922981305448,-0.214285714285714,0.29311395567331,0.0303923825261807,0.043380962651064,"gf","YorkRiver",1,FALSE,FALSE
0.000883837480639063,0.99672968778627,0.233806087184266,0.271509109638674,-0.357142857142857,0.13312848419606,7.81168692182067e-07,0.0144876741120508,0.0600483015556113,0.78045770891672,0.102454352811083,0.63380063135401,-0.142857142857143,0.581847029291278,0.00360579851971366,0.00881015252284991,"gf","YorkRiver",2,FALSE,FALSE
-0.405047571705153,0.0495910153337504,-0.15762208124782,0.461984874704035,0.214285714285714,0.548005572361309,0.164063535344241,0.185408747329285,-0.507422365840008,0.0113734940751537,-0.399309272494478,0.0532283640684802,0.571428571428571,0.0354981313206625,0.257477457354672,0.463555616091838,"gf","YorkRiver",3,FALSE,FALSE
-0.337017448081284,0.125090376398417,-0.149605910724477,0.50636458848507,-0.033175355450237,0.628382195637517,0.113580760311221,0.0238715661955164,-0.403638576902459,0.0624783176281345,-0.354389666849235,0.105613006456922,0.336492890995261,0.117372240762198,0.162924100763843,0.306434170500842,"gf","YorkRiver",4,FALSE,FALSE
-0.469491315794097,0.0206323744229356,-0.412444445931796,0.0451915888795381,-0.428571428571429,0.0401145602618144,0.220422095606072,0.242119382964453,-0.477734325410088,0.0182262173781281,-0.409817411244332,0.0467175810124694,-0.428571428571429,0.0715054164448744,0.228230085675032,0.343012704174229,"rda","Lewisetta",1,TRUE,TRUE
-0.435683065292183,0.0333293122080248,-0.307363058433249,0.144009480991668,-0.285714285714286,0.120676307860416,0.189819733382393,0.137789701169983,-0.48275885061226,0.0168751427439968,-0.446595896868824,0.0286902624973245,-0.428571428571429,0.0276120096503322,0.23305610784447,0.300838302653185,"rda","Lewisetta",2,FALSE,TRUE
-0.450312278855143,0.0272340511469077,-0.273211607496222,0.196444197943384,-0.357142857142857,0.160988931812515,0.202781148487712,0.15843066786463,-0.375305135451578,0.0707345526765137,-0.249568295309049,0.239560493808184,-0.142857142857143,0.176474290774069,0.140853944696327,0.0350584307178631,"rda","Lewisetta",3,FALSE,FALSE
-0.410840685404046,0.046118462144611,-0.228552017809339,0.282733898016142,-0.285714285714286,0.210728255863709,0.168790068783266,0.132075471698113,-0.217334303193095,0.307663199581446,-0.160249115935284,0.454458810485496,-0.142857142857143,0.270732357488891,0.0472341993444282,0.0305250305250306,"rda","Lewisetta",4,FALSE,FALSE
0.336084642624047,0.108343216621477,0.296854919683395,0.158941848389552,0.214285714285714,0.270732357488891,0.112952887007733,0.120915812067732,-0.120177278891789,0.575922604297801,-0.12872469968572,0.548867843936894,-0.214285714285714,0.29311395567331,0.0144425783618349,0.0217687074829932,"rda","YorkRiver",1,FALSE,FALSE
0.248419855625419,0.241801090209218,0.202281670934702,0.343169590255817,0.214285714285714,0.548005572361309,0.0617124246689542,0.0987027636773829,-0.0497352557256156,0.817479963215987,-0.191773532184848,0.369338172596559,-0.142857142857143,0.249551183213353,0.00247359566209237,0.0299490865528602,"rda","YorkRiver",2,FALSE,FALSE
-0.121957150724604,0.570240895450126,-0.317871197183104,0.130105040469395,-0.357142857142857,0.160988931812515,0.0148735466128637,0.227642276422764,-0.550571782681328,0.00530518019990828,-0.638369429053671,0.000788478034683301,-0.571428571428571,0.00266668179361409,0.303129287884895,0.587979094076655,"rda","YorkRiver",3,FALSE,TRUE
-0.234017690834255,0.294540397007054,-0.377143417529764,0.083583824586654,-0.194312796208531,0.104623423288806,0.0547642796233968,0.120384360185785,-0.171498932067561,0.445387453651809,-0.36235347958742,0.0974678115617707,-0.336492890995261,0.0929996081275877,0.029411883700314,0.239256416045759,"rda","YorkRiver",4,FALSE,FALSE
-0.371483267064117,0.0738852132649972,-0.383547064369696,0.0642895298585201,-0.357142857142857,0.0887311900372926,0.13799981770863,0.242119382964453,-0.494022042256437,0.0141416736932295,-0.36515782155745,0.0793325676096121,-0.357142857142857,0.079740865817891,0.24405777823522,0.224786103189007,"env_dist","Lewisetta",1,FALSE,FALSE
-0.39346927029337,0.057139473546064,-0.370411890932377,0.0747872779319278,-0.214285714285714,0.13312848419606,0.154818066665197,0.164617333631418,-0.274767271606309,0.193806519432799,-0.176011324060066,0.410680703254082,-0.214285714285714,0.515166544558988,0.075497053545975,0.131449312937516,"env_dist","Lewisetta",2,FALSE,FALSE
