"method","biotic","sel","bag_site","event","pearson_surv","pearson_surv_pval","spearman_surv","spearman_surv_pval","kendall_surv","kendall_surv_pval","r2_surv","r2_surv_rank","pearson_len","pearson_len_pval","spearman_len","spearman_len_pval","kendall_len","kendall_len_pval","r2_len","r2_len_rank","signif_surv","signif_len"
"rda","nb","sel","YorkRiver",3,-0.363578339040139,0.0807389618190176,-0.307363058433249,0.144009480991668,-0.212340685756869,0.160988931812515,0.132189208619186,0.227642276422764,-0.636141753935125,0.000833484620807424,-0.559558388429761,0.00446849817594389,-0.409514179673961,0.00686379498544903,0.404676331099657,0.51219512195122,FALSE,TRUE
"rda","nb","sel","YorkRiver",4,-0.403517079907496,0.062564756022838,-0.356665041917288,0.10323671810714,-0.258182997161682,0.104623423288806,0.162826033777073,0.106695788021387,-0.291573793106817,0.1879732722101,-0.289541477409728,0.191211230245245,-0.19476962943776,0.220858540896306,0.085015276826697,0.176469067012273,FALSE,FALSE
"env_dist","nb","sel","Lewisetta",1,-0.107896750844967,0.615783291100054,-0.144486907810502,0.500565893021111,-0.121337534718211,0.423130558109633,0.0116417088429009,0.0328638497652582,-0.0723488924669341,0.736904560494597,-0.031524416249564,0.883740672404498,-0.0682523632789935,0.652304137211763,0.00523436224119198,0.0104571774263245,FALSE,FALSE
"env_dist","nb","sel","Lewisetta",2,-0.0883956846614975,0.681265703287884,-0.070929936561519,0.74189156648298,-0.106170342878434,0.483380001354093,0.00781379706677487,0.000670690811535886,-0.246457520807279,0.245661223246938,-0.278465676871149,0.187633101907925,-0.204757089836981,0.176474290774069,0.0607413095624702,0.0457177426324432,FALSE,FALSE
"env_dist","nb","sel","Lewisetta",3,-0.195971354796843,0.358749122564137,-0.120843595623329,0.57379267840785,-0.128921130638099,0.394733526234106,0.03840477190091,0.0146750524109015,-0.377766106705907,0.0687606737449075,-0.417698515306723,0.0422569231792971,-0.333678220475079,0.0276120096503322,0.142707231375739,0.223308689084983,FALSE,TRUE
"env_dist","nb","sel","Lewisetta",4,-0.235181464065092,0.268618323288511,-0.165503185310211,0.439601496767015,-0.136504726557987,0.367520738242143,0.0553103210398002,0.0362383947289608,-0.314013464005968,0.135092183398874,-0.559558388429761,0.00446849817594389,-0.447432159273402,0.00313994745503096,0.0986044555770277,0.395604395604396,FALSE,TRUE
"env_dist","nb","sel","YorkRiver",1,0.205081795094531,0.336387273835567,0.228552017809339,0.282733898016142,0.219924281676757,0.146552800110555,0.0420585426791951,0.0178869544478893,0.100859562188006,0.639119346761043,0.102454352811083,0.63380063135401,0.091003151038658,0.548005572361309,0.0101726512847563,0.0275510204081632,FALSE,FALSE
"env_dist","nb","sel","YorkRiver",2,0.175882278577972,0.411029353503804,0.131351734373183,0.540671596799539,0.159255514317652,0.29311395567331,0.0309345759177794,0.0290871001530899,0.109571499097776,0.610281379722369,-0.0210162774997094,0.922351223730367,0.0151671918397763,0.920244901471896,0.012005913414534,0.00748727163821507,FALSE,FALSE
"env_dist","nb","sel","YorkRiver",3,-0.215631141978201,0.311562788177353,-0.204908705622166,0.336804180817266,-0.159255514317652,0.29311395567331,0.0464967893908229,0.0940766550522648,-0.501488034083182,0.0125384232328642,-0.467612174368533,0.0212153984366233,-0.386763391914297,0.0106740181183137,0.251490248328615,0.397502903600464,FALSE,TRUE
"env_dist","nb","sel","YorkRiver",4,-0.192263649886097,0.391336847590534,-0.189424974415402,0.398500376264968,-0.131356261713838,0.408999321706926,0.0369653110675236,0.00699719543079393,-0.414884817538063,0.0548640733452238,-0.470433795319932,0.0271393398246802,-0.303478259821626,0.05644942712165,0.172129411823592,0.276017682346475,FALSE,FALSE
"lea","b","ns","Lewisetta",1,-0.576830894582914,0.0122051525176567,-0.617603414093228,0.00631245473948824,-0.452273099117052,0.0123545850178719,0.332733880945324,0.514893617021277,-0.425058287560045,0.0786781198587528,-0.442041022269773,0.0662499201807989,-0.34094433625747,0.0592934886152632,0.180674547823478,0.264371772805508,TRUE,FALSE
"lea","b","ns","Lewisetta",2,-0.671677111840879,0.00226834363034943,-0.686574353738157,0.00165001726111842,-0.549685766619187,0.00236019926263064,0.451150142570904,0.556705882352941,-0.548816003176222,0.0183413688358914,-0.567442730715098,0.0140439194722519,-0.382692622329814,0.0342640077348691,0.301199005342323,0.377232142857143,TRUE,TRUE
"lea","b","ns","Lewisetta",3,-0.723124966266035,0.000696210442008387,-0.667764097471359,0.00245909543922713,-0.549685766619187,0.00236019926263064,0.522909716837253,0.479087994299964,-0.624050006262128,0.00564151915720274,-0.743005122538554,0.000411126189998074,-0.59143405269153,0.00106921275491937,0.389438410315762,0.783673469387755,TRUE,TRUE
"lea","b","ns","Lewisetta",4,-0.699375938470287,0.00123691639894227,-0.642683755782294,0.00402060672444034,-0.535769671261739,0.0030393346977047,0.489126703311194,0.563169642857143,-0.383717102223212,0.115956027454939,-0.761815378805353,0.000238855407313152,-0.59143405269153,0.00106921275491937,0.147238814538579,0.757032967032967,TRUE,TRUE
"lea","b","ns","YorkRiver",1,0.157119480399124,0.53352639557085,0.253938459601784,0.30924037545566,0.160035096610649,0.376010803629976,0.0246865311208908,0.0546103896103896,0.111994299807592,0.658173490460494,0.291558972135382,0.240435443485753,0.118286810538306,0.512899025493056,0.0125427231893928,0.0680851063829787,FALSE,FALSE
"lea","b","ns","YorkRiver",2,0.0765827771386921,0.76262848902231,0.203777776223654,0.417335893362912,0.104370715180858,0.563702861650773,0.00586492175427455,0.0529989094874591,0.0584597085239044,0.817770125714306,0.253938459601784,0.30924037545566,0.118286810538306,0.512899025493056,0.00341753752069988,0.0669642857142858,FALSE,FALSE
"lea","b","ns","YorkRiver",3,-0.203485796015372,0.418017957101997,-0.0971863240451273,0.701248632302262,-0.118286810538306,0.512899025493056,0.0414064691800097,0.0120413252582829,-0.511048396008117,0.0301994316159213,-0.335449570091246,0.173563861139706,-0.21569947804044,0.232794752323072,0.261170463062469,0.289185580774366,FALSE,FALSE
"lea","b","ns","YorkRiver",4,-0.188860449359246,0.483611172074651,-0.104331292813,0.700589464805947,-0.106399035319786,0.58257020399323,0.0356682693321762,0.00121839780688395,-0.198882562627319,0.460256593945595,-0.214624373786743,0.424739339255849,-0.177331725532977,0.359636881555037,0.0395542737172094,0.111728805365883,FALSE,FALSE
"gf_geno","b","ns","Lewisetta",1,-0.02808885288506,0.911904549154718,0.0470256406669971,0.853000614406904,0.0208741430361717,0.908072555255975,0.000788983656398534,0.0313504125054277,0.217135922925623,0.386771196681916,0.373070082624844,0.127298335550536,0.160035096610649,0.376010803629976,0.0471480090247623,0.174526678141136,FALSE,FALSE
"gf_geno","b","ns","Lewisetta",2,-0.0409102691921023,0.871956736318641,0.0658358969337959,0.795213564369254,-0.0487063337510672,0.787598706100638,0.00167365012537026,0.026890756302521,-0.192697567593474,0.443630723228315,-0.0282153844001982,0.911509176187109,-0.0487063337510672,0.787598706100638,0.0371323525564413,0.0228571428571428,FALSE,FALSE
