"pearson_surv","pearson_surv_pval","spearman_surv","spearman_surv_pval","kendall_surv","kendall_surv_pval","r2_surv","pearson_len","pearson_len_pval","spearman_len","spearman_len_pval","kendall_len","kendall_len_pval","r2_len","method","biotic","bag_site","event","signif_surv","signif_len"
-0.308292583555798,0.142738536798456,-0.370411890932377,0.0747872779319278,-0.235091473516533,0.120676307860416,0.0950443170755088,-0.439794968439757,0.0315160291743592,-0.49388252124317,0.0141731612938338,-0.348845412314856,0.0212855731197488,0.193419614264927,"env_dist","b","Lewisetta",3,FALSE,TRUE
-0.295380682298795,0.161120714563023,-0.388801133744623,0.0604225765165945,-0.242675069436421,0.109154778516566,0.087249747475302,-0.259568585315497,0.220625662645849,-0.388801133744623,0.0604225765165945,-0.25025866535631,0.098521020620399,0.0673758504826886,"env_dist","b","Lewisetta",4,FALSE,FALSE
0.0510493467665791,0.812739722917638,0.228552017809339,0.282733898016142,0.219924281676757,0.146552800110555,0.00260603580529445,0.0625882114293203,0.77140717673763,0.102454352811083,0.63380063135401,0.091003151038658,0.548005572361309,0.00391728420992132,"env_dist","b","YorkRiver",1,FALSE,FALSE
0.037217389068988,0.862923969695354,0.131351734373183,0.540671596799539,0.159255514317652,0.29311395567331,0.00138513404911244,-0.0350181168060231,0.870956015610781,-0.0210162774997094,0.922351223730367,0.0151671918397763,0.920244901471896,0.00122626850464027,"env_dist","b","YorkRiver",2,FALSE,FALSE
-0.39225679944578,0.0579786273311638,-0.204908705622166,0.336804180817266,-0.159255514317652,0.29311395567331,0.153865396711447,-0.571032194902724,0.00356411330782364,-0.467612174368533,0.0212153984366233,-0.386763391914297,0.0106740181183137,0.326077767615423,"env_dist","b","YorkRiver",3,FALSE,TRUE
-0.352955373672935,0.107131327658874,-0.189424974415402,0.398500376264968,-0.131356261713838,0.408999321706926,0.124577495804601,-0.472659971539668,0.02632347033117,-0.470433795319932,0.0271393398246802,-0.303478259821626,0.05644942712165,0.223407448695879,"env_dist","b","YorkRiver",4,FALSE,TRUE
-0.29415817480661,0.162943374108909,-0.254822364683976,0.229483786644935,-0.189589897997204,0.210728255863709,0.086529031805556,-0.20443635104448,0.337943475179462,-0.162876150622747,0.446997502075623,-0.136504726557987,0.367520738242143,0.0417942216283816,"lea","nb","Lewisetta",1,FALSE,FALSE
-0.304962096398934,0.147329608610208,-0.223297948434412,0.294246748529564,-0.174422706157428,0.249551183213353,0.0930018802400324,-0.422288836550782,0.039817546664385,-0.367784856244914,0.0770345314685512,-0.273009453115974,0.0715054164448744,0.178327861475413,"lea","nb","Lewisetta",2,FALSE,FALSE
-0.442159809753945,0.0305093438298885,-0.278465676871149,0.187633101907925,-0.197173493917092,0.193043565108068,0.195505297361645,-0.524528743498691,0.0085042437187577,-0.562185423117225,0.00424601608045038,-0.401930583754073,0.00797045699902741,0.275130402756316,"lea","nb","Lewisetta",3,FALSE,TRUE
-0.472948392801264,0.0195937054378282,-0.325752301245495,0.120331976178313,-0.204757089836981,0.176474290774069,0.223680182253299,-0.431659996850423,0.0351827532282732,-0.690910122802945,0.000185591794339102,-0.515684522552395,0.000663440613357049,0.186330352880907,"lea","nb","Lewisetta",4,FALSE,TRUE
