"","salinity_quantile_10","salinity_quantile_90","temp_quantile_10","temp_quantile_90","Dermo_Prevalence","Pea_crab","MSX_Prevalence","salinity_quantile_10_scaled","salinity_quantile_90_scaled","temp_quantile_10_scaled","temp_quantile_90_scaled","Dermo_Prevalence_scaled","Pea_crab_scaled","MSX_Prevalence_scaled","lew_sal_quant10_scaled","lew_sal_quant90_scaled","lew_temp_quant10_scaled","lew_temp_quant90_scaled","lew_Dermo_Prevalence_scaled","lew_Pea_crab_scaled","lew_MSX_Prevalence_scaled","yrk_sal_quant10_scaled","yrk_sal_quant90_scaled","yrk_temp_quant10_scaled","yrk_temp_quant90_scaled","yrk_Dermo_Prevalence_scaled","yrk_Pea_crab_scaled","yrk_MSX_Prevalence_scaled"
"EC_ApBay_FL_2023-10-4",10.1,31.2,14.1,30.4,0.4211,0,0,-0.347989369986604,0.650151437384316,1.16898558897722,0.787914396581905,0.718924444390619,-0.32113075833655,-0.609674953718044,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-0.208412501575651,-0.348518023882863,-0.758089374027266,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,0.804631540180986,3.71820615331891,1.00301655402587
"FFJ_CF_NC_2023-7-19",13.2,29.3,10,29.4,0.5882,0,0.3333,-0.0320294727613137,0.399861708558017,0.00956188366364128,0.491824598515651,1.49734668186809,-0.32113075833655,1.8269436040695,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-0.208412501575651,-0.348518023882863,-0.758089374027266,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,0.804631540180986,3.71820615331891,1.00301655402587
"FP_Sav_GA_2022-6-10",16.8518396,28.69560821,11.88,29.48,0.1579,0.1,0.55,0.34017532230296,0.3202443100191,0.541200070490356,0.515511782360952,-0.50717210201315,0.571786004508944,3.41114774890167,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-0.208412501575651,-0.348518023882863,-0.758089374027266,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,0.804631540180986,3.71820615331891,1.00301655402587
"GalBay_TX_2022-6-2",1,17,12.2,30,0,0,0,-1.27548455216407,-1.22043495700171,0.631691676758732,0.669478477355404,-1.24273686142483,-0.32113075833655,-0.609674953718044,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-0.208412501575651,-0.348518023882863,-0.758089374027266,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,0.804631540180986,3.71820615331891,1.00301655402587
"GriceCove_SC_2022-8-10",22,29,12,29.4,0.6842,0,0,0.864888945168544,0.360342277690706,0.575134422840997,0.491824598515651,1.9445551486415,-0.32113075833655,-0.609674953718044,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-0.208412501575651,-0.348518023882863,-0.758089374027266,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,0.804631540180986,3.71820615331891,1.00301655402587
"HC_DB_NJ_2022-9-23",1.309,10.013,8.136,26.748,0,0,0.0667,-1.24399048498903,-2.14084250190137,-0.517551722849654,-0.293405545956052,-1.24273686142483,-0.32113075833655,-0.122058818691253,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-0.208412501575651,-0.348518023882863,-0.758089374027266,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,0.804631540180986,3.71820615331891,1.00301655402587
"IL_ApBay_FL_2023-10-3",9.7,31.6,13.9,30.3,0.3333,0,0,-0.388758388983416,0.702844011874064,1.11242833505948,0.75830541677528,0.309915034154103,-0.32113075833655,-0.609674953718044,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-0.208412501575651,-0.348518023882863,-0.758089374027266,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,0.804631540180986,3.71820615331891,1.00301655402587
"KP_FGR_FL_2022-8-23",27.85066428,35.97585067,14.559,29.279,0.3158,0,0,1.46120355310676,1.27928110533653,1.29878448671842,0.455997732949635,0.228392657398534,-0.32113075833655,-0.609674953718044,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-0.208412501575651,-0.348518023882863,-0.758089374027266,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,0.804631540180986,3.71820615331891,1.00301655402587
"LakeFortuna_LA_2022-5-11",1.7,18,12.6,30.3,0,0,0,-1.20413876891965,-1.08870352077734,0.744806184594203,0.75830541677528,-1.24273686142483,-0.32113075833655,-0.609674953718044,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-0.208412501575651,-0.348518023882863,-0.758089374027266,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,0.804631540180986,3.71820615331891,1.00301655402587
"LCP_UP_MD_2022-10-20",2.785,12.07,4.7,27,0.1429,0,0.0625,-1.0935528048908,-1.86987093758785,-1.48920534515635,-0.218790916843356,-0.577048424946495,-0.32113075833655,-0.152763282965804,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-0.208412501575651,-0.348518023882863,-0.758089374027266,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,0.804631540180986,3.71820615331891,1.00301655402587
"Mer_GA_2022-7-26",17,31,12.8,30,0.45,0.05,0.1111,0.355276207708398,0.623805150139443,0.801363438511939,0.669478477355404,0.853552826575531,0.125327623086197,0.202531232211138,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-0.208412501575651,-0.348518023882863,-0.758089374027266,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,0.804631540180986,3.71820615331891,1.00301655402587
"Nickle_Rf_LA_2022-8-1",0.4,8.3,11.7,30.2,0,0,0,-1.33663808065929,-2.36649845215371,0.490298541964393,0.728696436968654,-1.24273686142483,-0.32113075833655,-0.609674953718044,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-0.208412501575651,-0.348518023882863,-0.758089374027266,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,0.804631540180986,3.71820615331891,1.00301655402587
