"","site_name","merge_ID_inds","Label_ind","Key_ind","SiteDate_Key","salinity_quantile_10","salinity_quantile_90","temp_quantile_10","temp_quantile_90","Dermo_Prevalence","Pea_crab","salinity_quantile_10_scaled","salinity_quantile_90_scaled","temp_quantile_10_scaled","temp_quantile_90_scaled","Dermo_Prevalence_scaled","Pea_crab_scaled","lew_salinity_quantile_10","lew_salinity_quantile_90","lew_temp_quantile_10","lew_temp_quantile_90","lew_Dermo_Prevalence","lew_Pea_crab","lew_salinity_quantile_10_scaled","lew_salinity_quantile_90_scaled","lew_temp_quantile_10_scaled","lew_temp_quantile_90_scaled","lew_Dermo_Prevalence_scaled","lew_Pea_crab_scaled","yrk_salinity_quantile_10","yrk_salinity_quantile_90","yrk_temp_quantile_10","yrk_temp_quantile_90","yrk_Dermo_Prevalence","yrk_Pea_crab","yrk_salinity_quantile_10_scaled","yrk_salinity_quantile_90_scaled","yrk_temp_quantile_10_scaled","yrk_temp_quantile_90_scaled","yrk_Dermo_Prevalence_scaled","yrk_Pea_crab_scaled"
"35","W2_LA","H7_CviMVP_PlDNA_6_D467_0BA888FC","D467","0BA888FC","0560E939",3,18,13.2,30.7,0.388888889,0,-1.0632334992155,-1.09815325190595,0.880704755292783,0.851646841023653,-1.21931725089284,-0.336925850438738,8.7,16.6,7.2,28.2,0.3516666666,0,-0.483788057015038,-1.28339908137618,-0.864145842283922,0.0964449721060829,-1.35122362825326,-0.336925850438738,15.43,22.93,7.984,27.393,0.6529333333,0.487704918032787,0.200364193161999,-0.445823295271495,-0.636152030867233,-0.147334191180508,-0.28360885241315,2.8923156546082
"36","W2_LA","E11_CviMVP_PlDNA_6_D460_D660C105","D460","D660C105","0560E939",3,18,13.2,30.7,0.388888889,0,-1.0632334992155,-1.09815325190595,0.880704755292783,0.851646841023653,-1.21931725089284,-0.336925850438738,8.7,16.6,7.2,28.2,0.3516666666,0,-0.483788057015038,-1.28339908137618,-0.864145842283922,0.0964449721060829,-1.35122362825326,-0.336925850438738,15.43,22.93,7.984,27.393,0.6529333333,0.487704918032787,0.200364193161999,-0.445823295271495,-0.636152030867233,-0.147334191180508,-0.28360885241315,2.8923156546082
"37","W2_LA","A6_CviMVP_PlDNA_6_D461_AF253003","D461","AF253003","0560E939",3,18,13.2,30.7,0.388888889,0,-1.0632334992155,-1.09815325190595,0.880704755292783,0.851646841023653,-1.21931725089284,-0.336925850438738,8.7,16.6,7.2,28.2,0.3516666666,0,-0.483788057015038,-1.28339908137618,-0.864145842283922,0.0964449721060829,-1.35122362825326,-0.336925850438738,15.43,22.93,7.984,27.393,0.6529333333,0.487704918032787,0.200364193161999,-0.445823295271495,-0.636152030867233,-0.147334191180508,-0.28360885241315,2.8923156546082
"38","W3_FL","A12_CviMVP_PlDNA_6_D373_C62B83B7","D373","C62B83B7","7C86F928",27.85066428,35.97585067,14.559,29.279,0.947368421,0,1.46301284336342,1.28038343937773,1.27591341564391,0.422390098730906,0.759796492086245,-0.336925850438738,8.7,16.6,7.2,28.2,0.3516666666,0,-0.483788057015038,-1.28339908137618,-0.864145842283922,0.0964449721060829,-1.35122362825326,-0.336925850438738,15.43,22.93,7.984,27.393,0.6529333333,0.487704918032787,0.200364193161999,-0.445823295271495,-0.636152030867233,-0.147334191180508,-0.28360885241315,2.8923156546082
"39","W3_FL","F8_CviMVP_PlDNA_6_D370_577CBD32","D370","577CBD32","7C86F928",27.85066428,35.97585067,14.559,29.279,0.947368421,0,1.46301284336342,1.28038343937773,1.27591341564391,0.422390098730906,0.759796492086245,-0.336925850438738,8.7,16.6,7.2,28.2,0.3516666666,0,-0.483788057015038,-1.28339908137618,-0.864145842283922,0.0964449721060829,-1.35122362825326,-0.336925850438738,15.43,22.93,7.984,27.393,0.6529333333,0.487704918032787,0.200364193161999,-0.445823295271495,-0.636152030867233,-0.147334191180508,-0.28360885241315,2.8923156546082
"40","W3_FL","G4_CviMVP_PlDNA_6_D354_CDFCE214","D354","CDFCE214","7C86F928",27.85066428,35.97585067,14.559,29.279,0.947368421,0,1.46301284336342,1.28038343937773,1.27591341564391,0.422390098730906,0.759796492086245,-0.336925850438738,8.7,16.6,7.2,28.2,0.3516666666,0,-0.483788057015038,-1.28339908137618,-0.864145842283922,0.0964449721060829,-1.35122362825326,-0.336925850438738,15.43,22.93,7.984,27.393,0.6529333333,0.487704918032787,0.200364193161999,-0.445823295271495,-0.636152030867233,-0.147334191180508,-0.28360885241315,2.8923156546082
"41","W3_FL","B10_CviMVP_PlDNA_7_D357_44E1CB35","D357","44E1CB35","7C86F928",27.85066428,35.97585067,14.559,29.279,0.947368421,0,1.46301284336342,1.28038343937773,1.27591341564391,0.422390098730906,0.759796492086245,-0.336925850438738,8.7,16.6,7.2,28.2,0.3516666666,0,-0.483788057015038,-1.28339908137618,-0.864145842283922,0.0964449721060829,-1.35122362825326,-0.336925850438738,15.43,22.93,7.984,27.393,0.6529333333,0.487704918032787,0.200364193161999,-0.445823295271495,-0.636152030867233,-0.147334191180508,-0.28360885241315,2.8923156546082
"42","W3_FL","B11_CviMVP_PlDNA_7_D358_21279194","D358","21279194","7C86F928",27.85066428,35.97585067,14.559,29.279,0.947368421,0,1.46301284336342,1.28038343937773,1.27591341564391,0.422390098730906,0.759796492086245,-0.336925850438738,8.7,16.6,7.2,28.2,0.3516666666,0,-0.483788057015038,-1.28339908137618,-0.864145842283922,0.0964449721060829,-1.35122362825326,-0.336925850438738,15.43,22.93,7.984,27.393,0.6529333333,0.487704918032787,0.200364193161999,-0.445823295271495,-0.636152030867233,-0.147334191180508,-0.28360885241315,2.8923156546082
"43","W3_FL","F2_CviMVP_PlDNA_6_D361_E0F5F92E","D361","E0F5F92E","7C86F928",27.85066428,35.97585067,14.559,29.279,0.947368421,0,1.46301284336342,1.28038343937773,1.27591341564391,0.422390098730906,0.759796492086245,-0.336925850438738,8.7,16.6,7.2,28.2,0.3516666666,0,-0.483788057015038,-1.28339908137618,-0.864145842283922,0.0964449721060829,-1.35122362825326,-0.336925850438738,15.43,22.93,7.984,27.393,0.6529333333,0.487704918032787,0.200364193161999,-0.445823295271495,-0.636152030867233,-0.147334191180508,-0.28360885241315,2.8923156546082
"44","W3_FL","E9_CviMVP_PlDNA_7_D365_8802D982","D365","8802D982","7C86F928",27.85066428,35.97585067,14.559,29.279,0.947368421,0,1.46301284336342,1.28038343937773,1.27591341564391,0.422390098730906,0.759796492086245,-0.336925850438738,8.7,16.6,7.2,28.2,0.3516666666,0,-0.483788057015038,-1.28339908137618,-0.864145842283922,0.0964449721060829,-1.35122362825326,-0.336925850438738,15.43,22.93,7.984,27.393,0.6529333333,0.487704918032787,0.200364193161999,-0.445823295271495,-0.636152030867233,-0.147334191180508,-0.28360885241315,2.8923156546082
