"","rownames(env_dist_df)","AC_LIS_CT_2023-10-3","Cal_Lake_LA_2022-8-11","CC_VA_2022-7-11","CPR_MS_AL_2022-8-24","CS_DB_NJ_2022-9-21","Culch_Ba_LA_2022-6-21","DC_NB_RI_2022-8-19","EC_ApBay_FL_2023-10-4","FFJ_CF_NC_2023-7-19","FP_Sav_GA_2022-6-10","GalBay_TX_2022-6-2","GriceCove_SC_2022-8-10","HC_DB_NJ_2022-9-23","IL_ApBay_FL_2023-10-3","LakeFortuna_LA_2022-5-11","LCP_UP_MD_2022-10-20","Mer_GA_2022-7-26","Nickle_Rf_LA_2022-8-1","OL_MI_SC_2022-5-31","Orrs_Cove_ME_2022-10-31","SaLa_GA_2022-10-5","SaltBay_Canada_2022-9-27","Sapelo_Is_GA_2022-7-17","SawIs_MA_2022-9-5","SkR_GA_2022-6-14","TP_TX_2022-6-28","UNCW_MS_NC_2023-7-17","W1_TX","W6_ME","W4_VA","W3_FL","W2_LA","W5_NH","S1_LOLA","S2_DEBY","Lewisetta","YorkRiver"
"SkR_GA_2022-6-14","SkR_GA_2022-6-14",4.2607,1.7151,1.7492,1.4164,2.412,2.9679,3.6556,1.7876,2.5357,3.7456,3.0833,0.9152,3.9432,1.564,3.1001,3.7663,1.6767,3.9619,2.1471,3.4587,2.7169,4.3125,0.7536,2.6296,0,1.7731,2.7792,2.1379,3.9721,2.6525,1.812,2.8367,3.4636,2.9637,4.5598,2.7922,4.6735
"TP_TX_2022-6-28","TP_TX_2022-6-28",4.2605,0.3296,3.2489,1.024,3.0859,1.6206,4.838,1.38,3.1339,4.257,1.836,1.9637,3.3129,1.1398,1.8601,3.4353,2.355,2.9154,3.4829,4.4421,2.129,5.0159,1.9733,3.0846,1.7731,0,3.7547,1.4197,4.9186,2.7113,2.9182,1.6058,3.8141,2.8706,4.9121,2.6748,5.0754
"UNCW_MS_NC_2023-7-17","UNCW_MS_NC_2023-7-17",5.1794,3.7633,3.1109,3.5612,2.8461,4.6344,4.2686,3.6236,1.5591,1.7422,4.6936,3.2836,5.0891,3.1625,4.7024,4.9145,1.6819,5.4501,3.6249,3.2017,3.801,5.1068,2.2621,2.7151,2.7792,3.7547,0,3.4467,4.2208,4.0623,3.1775,4.3149,2.6078,4.5112,5.1181,4.4202,4.7596
"W1_TX","W1_TX",4.6582,1.6797,3.4558,1.4521,3.204,2.6928,4.9794,1.8385,3.2241,4.048,2.8017,2.5192,4.1741,1.4003,2.7193,4.304,2.3551,3.9724,3.5579,4.273,2.9097,5.0568,2.031,3.2018,2.1379,1.4197,3.4467,0,4.7786,3.3955,2.9178,2.5548,3.8311,3.784,5.3198,3.64,5.388
"W6_ME","W6_ME",5.3227,4.8504,3.5214,4.319,2.4487,5.3531,2.5983,5.137,4.7973,4.9161,5.1877,4.2818,4.8582,4.8587,5.1754,4.8135,4.4686,5.7698,4.1134,1.2273,5.8273,2.3288,4.0423,4.138,3.9721,4.9186,4.2208,4.7786,0,3.8902,4.547,5.1841,4.0532,4.4627,5.6832,4.5023,5.6717
"W4_VA","W4_VA",4.0447,2.6196,2.9688,2.4748,1.8549,2.5362,3.8137,3.642,3.6656,4.3358,2.2081,3.1609,1.8197,3.3667,2.2892,1.5216,3.4758,2.583,4.1335,3.3424,3.757,3.2631,3.1546,3.8456,2.6525,2.7113,4.0623,3.3955,3.8902,0,4.3821,2.3677,3.4432,1.1746,4.5801,1.1157,4.7748
"W3_FL","W3_FL",4.956,2.8878,2.5254,2.7623,3.7372,4.2886,4.1258,2.0301,3.1064,4.435,4.5274,1.4165,5.5135,2.0995,4.5461,5.3654,2.1809,5.4322,1.841,4.2472,3.2153,5.3651,1.4911,2.6937,1.812,2.9182,3.1775,2.9178,4.547,4.3821,0,4.2314,4.2607,4.5339,5.2322,4.3824,5.2906
"W2_LA","W2_LA",4.8049,1.4909,4.1926,1.8899,3.1978,0.4411,5.487,2.8698,3.7491,4.2839,0.5802,3.1878,2.1992,2.572,0.5812,2.7919,3.1928,1.4834,4.6267,4.6625,2.9449,5.2247,3.085,3.9472,2.8367,1.6058,4.3149,2.5548,5.1841,2.3677,4.2314,0,4.1065,2.6981,5.1806,2.5019,5.2905
"W5_NH","W5_NH",3.6232,3.8364,3.3649,3.9956,2.4016,4.3438,3.5797,3.8192,2.0094,3.1405,4.2301,3.7334,3.995,3.4688,4.3738,3.5689,2.8098,4.8679,4.4305,3.0985,3.3791,4.1765,3.2316,2.0329,3.4636,3.8141,2.6078,3.8311,4.0532,3.4432,4.2607,4.1065,0,3.4231,4.6972,3.4655,4.4382
"S1_LOLA","S1_LOLA",3.4183,2.7753,3.0683,2.9846,2.5099,2.733,3.7815,3.5684,3.7356,4.9031,2.4515,3.1878,1.9259,3.4457,2.6633,1.055,3.7515,2.7121,4.2964,3.9737,3.3585,3.5755,3.4655,3.6909,2.9637,2.8706,4.5112,3.784,4.4627,1.1746,4.5339,2.6981,3.4231,0,4.4511,0.2657,4.7326
"S2_DEBY","S2_DEBY",2.9859,4.8622,4.4807,4.9713,4.5514,5.259,5.0039,4.9615,4.6543,4.9889,5.2163,4.623,5.1744,4.8801,5.3311,4.7881,4.3924,5.5767,4.0132,5.2296,4.8405,5.5079,4.6811,4.6609,4.5598,4.9121,5.1181,5.3198,5.6832,4.5801,5.2322,5.1806,4.6972,4.4511,0,4.4339,0.8669
"Lewisetta","Lewisetta",3.508,2.5666,3.015,2.7915,2.5078,2.5355,3.8701,3.4013,3.6435,4.8063,2.2801,3.0232,1.9129,3.2783,2.4898,1.1725,3.6032,2.5627,4.1862,4.0043,3.2158,3.7186,3.3072,3.6478,2.7922,2.6748,4.4202,3.64,4.5023,1.1157,4.3824,2.5019,3.4655,0.2657,4.4339,0,4.7116
"YorkRiver","YorkRiver",3.3477,5.0268,4.6461,5.1327,4.5231,5.4209,5.1463,5.1033,4.3871,4.4642,5.3916,4.7983,5.3203,4.9515,5.4986,4.9889,4.2167,5.7594,4.2103,5.1077,4.8921,5.7146,4.6801,4.5468,4.6735,5.0754,4.7596,5.388,5.6717,4.7748,5.2906,5.2905,4.4382,4.7326,0.8669,4.7116,0
