"","site_name","merge_ID_inds","Label_ind","Key_ind","SiteDate_Key","Mean_max_Salinity_ppt","Mean_min_Salinity_ppt","Mean_max_temperature_C","Mean_min_temperature_C","max_sal_scaled","min_sal_scaled","max_temp_scaled","min_temp_scaled"
"35","S2-DEBY","G3_CviMVP_PlDNA_6_D874_82ad06ee","D874","82ad06ee","D2D83B3C",24.1890909090909,12.9063636363636,30.1437727272727,3.54609090909091,-0.484524361812443,0.819762946657394,0.462137037935338,-0.515610143239177
"36","S2-DEBY","D2_CviMVP_PlDNA_7_D871_60d713f2","D871","60d713f2","D2D83B3C",24.1890909090909,12.9063636363636,30.1437727272727,3.54609090909091,-0.484524361812443,0.819762946657394,0.462137037935338,-0.515610143239177
"37","S2-DEBY","C10_CviMVP_PlDNA_7_D872_54094c41","D872","54094c41","D2D83B3C",24.1890909090909,12.9063636363636,30.1437727272727,3.54609090909091,-0.484524361812443,0.819762946657394,0.462137037935338,-0.515610143239177
"38","S2-DEBY","F6_CviMVP_PlDNA_7_D873_ccd5b61b","D873","ccd5b61b","D2D83B3C",24.1890909090909,12.9063636363636,30.1437727272727,3.54609090909091,-0.484524361812443,0.819762946657394,0.462137037935338,-0.515610143239177
"39","W1-TX","G5_CviMVP_PlDNA_7_D485_7767496A","D485","7767496A","5413EC26",30.2235294117647,6.36470588235294,32.0176470588235,7.98823529411765,0.47171230357248,-0.400013009254466,1.00118119770729,0.938718486582575
"40","W1-TX","B9_CviMVP_PlDNA_6_D487_FEB662A1","D487","FEB662A1","5413EC26",30.2235294117647,6.36470588235294,32.0176470588235,7.98823529411765,0.47171230357248,-0.400013009254466,1.00118119770729,0.938718486582575
"41","W1-TX","G1_CviMVP_PlDNA_6_D488_D412E119","D488","D412E119","5413EC26",30.2235294117647,6.36470588235294,32.0176470588235,7.98823529411765,0.47171230357248,-0.400013009254466,1.00118119770729,0.938718486582575
"42","W1-TX","B8_CviMVP_PlDNA_6_D489_3898043B","D489","3898043B","5413EC26",30.2235294117647,6.36470588235294,32.0176470588235,7.98823529411765,0.47171230357248,-0.400013009254466,1.00118119770729,0.938718486582575
"43","W1-TX","E3_CviMVP_PlDNA_7_D490_FC67A3B1","D490","FC67A3B1","5413EC26",30.2235294117647,6.36470588235294,32.0176470588235,7.98823529411765,0.47171230357248,-0.400013009254466,1.00118119770729,0.938718486582575
"44","W1-TX","B11_CviMVP_PlDNA_6_D491_F79656F8","D491","F79656F8","5413EC26",30.2235294117647,6.36470588235294,32.0176470588235,7.98823529411765,0.47171230357248,-0.400013009254466,1.00118119770729,0.938718486582575
"45","W1-TX","G5_CviMVP_PlDNA_6_D493_5EF5CCFE","D493","5EF5CCFE","5413EC26",30.2235294117647,6.36470588235294,32.0176470588235,7.98823529411765,0.47171230357248,-0.400013009254466,1.00118119770729,0.938718486582575
"46","W1-TX","A5_CviMVP_PlDNA_7_D497_E2129593","D497","E2129593","5413EC26",30.2235294117647,6.36470588235294,32.0176470588235,7.98823529411765,0.47171230357248,-0.400013009254466,1.00118119770729,0.938718486582575
"47","W1-TX","F5_CviMVP_PlDNA_7_D501_AEF41388","D501","AEF41388","5413EC26",30.2235294117647,6.36470588235294,32.0176470588235,7.98823529411765,0.47171230357248,-0.400013009254466,1.00118119770729,0.938718486582575
"48","W1-TX","F12_CviMVP_PlDNA_7_D502_2019ED4D","D502","2019ED4D","5413EC26",30.2235294117647,6.36470588235294,32.0176470588235,7.98823529411765,0.47171230357248,-0.400013009254466,1.00118119770729,0.938718486582575
"49","W1-TX","E12_CviMVP_PlDNA_7_D506_572E318A","D506","572E318A","5413EC26",30.2235294117647,6.36470588235294,32.0176470588235,7.98823529411765,0.47171230357248,-0.400013009254466,1.00118119770729,0.938718486582575
"50","W1-TX","H6_CviMVP_PlDNA_6_D514_45517FE3","D514","45517FE3","5413EC26",30.2235294117647,6.36470588235294,32.0176470588235,7.98823529411765,0.47171230357248,-0.400013009254466,1.00118119770729,0.938718486582575
"51","W1-TX","A3_CviMVP_PlDNA_7_D515_35B82832","D515","35B82832","5413EC26",30.2235294117647,6.36470588235294,32.0176470588235,7.98823529411765,0.47171230357248,-0.400013009254466,1.00118119770729,0.938718486582575
"52","W1-TX","B8_CviMVP_PlDNA_7_D518_F6E0CA00","D518","F6E0CA00","5413EC26",30.2235294117647,6.36470588235294,32.0176470588235,7.98823529411765,0.47171230357248,-0.400013009254466,1.00118119770729,0.938718486582575
"53","W1-TX","G7_CviMVP_PlDNA_7_D520_5069B8EC","D520","5069B8EC","5413EC26",30.2235294117647,6.36470588235294,32.0176470588235,7.98823529411765,0.47171230357248,-0.400013009254466,1.00118119770729,0.938718486582575
"54","W1-TX","C1_CviMVP_PlDNA_7_D521_948B28B4","D521","948B28B4","5413EC26",30.2235294117647,6.36470588235294,32.0176470588235,7.98823529411765,0.47171230357248,-0.400013009254466,1.00118119770729,0.938718486582575
"55","W1-TX","C6_CviMVP_PlDNA_7_D522_D65D0C31","D522","D65D0C31","5413EC26",30.2235294117647,6.36470588235294,32.0176470588235,7.98823529411765,0.47171230357248,-0.400013009254466,1.00118119770729,0.938718486582575
"56","W2-LA","A11_CviMVP_PlDNA_6_D409_A9327668","D409","A9327668","0560E939",25.75,0.96875,33.16875,7.3125,-0.237177652852102,-1.40615816266302,1.33231082966291,0.717487229955962
"57","W2-LA","H1_CviMVP_PlDNA_7_D416_48254724","D416","48254724","0560E939",25.75,0.96875,33.16875,7.3125,-0.237177652852102,-1.40615816266302,1.33231082966291,0.717487229955962
"58","W2-LA","A11_CviMVP_PlDNA_7_D417_7FC7D21B","D417","7FC7D21B","0560E939",25.75,0.96875,33.16875,7.3125,-0.237177652852102,-1.40615816266302,1.33231082966291,0.717487229955962
"59","W2-LA","E9_CviMVP_PlDNA_6_D419_254178B5","D419","254178B5","0560E939",25.75,0.96875,33.16875,7.3125,-0.237177652852102,-1.40615816266302,1.33231082966291,0.717487229955962
"60","W2-LA","F12_CviMVP_PlDNA_6_D421_66281012","D421","66281012","0560E939",25.75,0.96875,33.16875,7.3125,-0.237177652852102,-1.40615816266302,1.33231082966291,0.717487229955962
"61","W2-LA","F2_CviMVP_PlDNA_7_D423_BAD9EDE2","D423","BAD9EDE2","0560E939",25.75,0.96875,33.16875,7.3125,-0.237177652852102,-1.40615816266302,1.33231082966291,0.717487229955962
"62","W2-LA","H2_CviMVP_PlDNA_6_D427_3938C279","D427","3938C279","0560E939",25.75,0.96875,33.16875,7.3125,-0.237177652852102,-1.40615816266302,1.33231082966291,0.717487229955962
"63","W2-LA","H10_CviMVP_PlDNA_6_D429_BF6B1D87","D429","BF6B1D87","0560E939",25.75,0.96875,33.16875,7.3125,-0.237177652852102,-1.40615816266302,1.33231082966291,0.717487229955962
"64","W2-LA","G6_CviMVP_PlDNA_6_D430_D7F6CAA2","D430","D7F6CAA2","0560E939",25.75,0.96875,33.16875,7.3125,-0.237177652852102,-1.40615816266302,1.33231082966291,0.717487229955962
"65","W2-LA","E6_CviMVP_PlDNA_7_D431_E0DFDDDF","D431","E0DFDDDF","0560E939",25.75,0.96875,33.16875,7.3125,-0.237177652852102,-1.40615816266302,1.33231082966291,0.717487229955962
"66","W2-LA","F9_CviMVP_PlDNA_6_D440_E598DA32","D440","E598DA32","0560E939",25.75,0.96875,33.16875,7.3125,-0.237177652852102,-1.40615816266302,1.33231082966291,0.717487229955962
"67","W2-LA","D7_CviMVP_PlDNA_6_D447_C3F03566","D447","C3F03566","0560E939",25.75,0.96875,33.16875,7.3125,-0.237177652852102,-1.40615816266302,1.33231082966291,0.717487229955962
"68","W2-LA","H8_CviMVP_PlDNA_6_D451_81894C0C","D451","81894C0C","0560E939",25.75,0.96875,33.16875,7.3125,-0.237177652852102,-1.40615816266302,1.33231082966291,0.717487229955962
"69","W2-LA","D4_CviMVP_PlDNA_7_D453_16D4BE87","D453","16D4BE87","0560E939",25.75,0.96875,33.16875,7.3125,-0.237177652852102,-1.40615816266302,1.33231082966291,0.717487229955962
"70","W2-LA","E8_CviMVP_PlDNA_6_D456_5D66AA4C","D456","5D66AA4C","0560E939",25.75,0.96875,33.16875,7.3125,-0.237177652852102,-1.40615816266302,1.33231082966291,0.717487229955962
"71","W2-LA","H11_CviMVP_PlDNA_6_D457_10245781","D457","10245781","0560E939",25.75,0.96875,33.16875,7.3125,-0.237177652852102,-1.40615816266302,1.33231082966291,0.717487229955962
"72","W2-LA","H7_CviMVP_PlDNA_7_D458_A9620321","D458","A9620321","0560E939",25.75,0.96875,33.16875,7.3125,-0.237177652852102,-1.40615816266302,1.33231082966291,0.717487229955962
"73","W2-LA","E11_CviMVP_PlDNA_6_D460_D660C105","D460","D660C105","0560E939",25.75,0.96875,33.16875,7.3125,-0.237177652852102,-1.40615816266302,1.33231082966291,0.717487229955962
"74","W2-LA","A6_CviMVP_PlDNA_6_D461_AF253003","D461","AF253003","0560E939",25.75,0.96875,33.16875,7.3125,-0.237177652852102,-1.40615816266302,1.33231082966291,0.717487229955962
"75","W2-LA","H7_CviMVP_PlDNA_6_D467_0BA888FC","D467","0BA888FC","0560E939",25.75,0.96875,33.16875,7.3125,-0.237177652852102,-1.40615816266302,1.33231082966291,0.717487229955962
"76","W3-FL","G4_CviMVP_PlDNA_6_D354_CDFCE214","D354","CDFCE214","7C86F928",37.2042051805,15.4224441766,30.6387,10.38665,1.57789279016971,1.28891842093094,0.60450926182653,1.7239435649721
"77","W3-FL","B10_CviMVP_PlDNA_7_D357_44E1CB35","D357","44E1CB35","7C86F928",37.2042051805,15.4224441766,30.6387,10.38665,1.57789279016971,1.28891842093094,0.60450926182653,1.7239435649721
"78","W3-FL","B11_CviMVP_PlDNA_7_D358_21279194","D358","21279194","7C86F928",37.2042051805,15.4224441766,30.6387,10.38665,1.57789279016971,1.28891842093094,0.60450926182653,1.7239435649721
"79","W3-FL","F2_CviMVP_PlDNA_6_D361_E0F5F92E","D361","E0F5F92E","7C86F928",37.2042051805,15.4224441766,30.6387,10.38665,1.57789279016971,1.28891842093094,0.60450926182653,1.7239435649721
"80","W3-FL","E9_CviMVP_PlDNA_7_D365_8802D982","D365","8802D982","7C86F928",37.2042051805,15.4224441766,30.6387,10.38665,1.57789279016971,1.28891842093094,0.60450926182653,1.7239435649721
"81","W3-FL","A3_CviMVP_PlDNA_6_D366_8A99C079","D366","8A99C079","7C86F928",37.2042051805,15.4224441766,30.6387,10.38665,1.57789279016971,1.28891842093094,0.60450926182653,1.7239435649721
"82","W3-FL","D3_CviMVP_PlDNA_7_D368_91216A29","D368","91216A29","7C86F928",37.2042051805,15.4224441766,30.6387,10.38665,1.57789279016971,1.28891842093094,0.60450926182653,1.7239435649721
"83","W3-FL","A4_CviMVP_PlDNA_7_D369_227DE456","D369","227DE456","7C86F928",37.2042051805,15.4224441766,30.6387,10.38665,1.57789279016971,1.28891842093094,0.60450926182653,1.7239435649721
"84","W3-FL","F8_CviMVP_PlDNA_6_D370_577CBD32","D370","577CBD32","7C86F928",37.2042051805,15.4224441766,30.6387,10.38665,1.57789279016971,1.28891842093094,0.60450926182653,1.7239435649721
"85","W3-FL","A12_CviMVP_PlDNA_6_D373_C62B83B7","D373","C62B83B7","7C86F928",37.2042051805,15.4224441766,30.6387,10.38665,1.57789279016971,1.28891842093094,0.60450926182653,1.7239435649721
"86","W3-FL","D11_CviMVP_PlDNA_6_D378_27E253F3","D378","27E253F3","7C86F928",37.2042051805,15.4224441766,30.6387,10.38665,1.57789279016971,1.28891842093094,0.60450926182653,1.7239435649721
"87","W3-FL","A6_CviMVP_PlDNA_7_D380_2B152ABE","D380","2B152ABE","7C86F928",37.2042051805,15.4224441766,30.6387,10.38665,1.57789279016971,1.28891842093094,0.60450926182653,1.7239435649721
"88","W3-FL","D3_CviMVP_PlDNA_6_D384_4313EF91","D384","4313EF91","7C86F928",37.2042051805,15.4224441766,30.6387,10.38665,1.57789279016971,1.28891842093094,0.60450926182653,1.7239435649721
"89","W3-FL","B4_CviMVP_PlDNA_6_D385_5BD167E2","D385","5BD167E2","7C86F928",37.2042051805,15.4224441766,30.6387,10.38665,1.57789279016971,1.28891842093094,0.60450926182653,1.7239435649721
"90","W3-FL","D2_CviMVP_PlDNA_6_D386_36FA30E4","D386","36FA30E4","7C86F928",37.2042051805,15.4224441766,30.6387,10.38665,1.57789279016971,1.28891842093094,0.60450926182653,1.7239435649721
"91","W3-FL","E2_CviMVP_PlDNA_7_D392_F23E8B15","D392","F23E8B15","7C86F928",37.2042051805,15.4224441766,30.6387,10.38665,1.57789279016971,1.28891842093094,0.60450926182653,1.7239435649721
"92","W3-FL","F3_CviMVP_PlDNA_6_D397_3D2D55E5","D397","3D2D55E5","7C86F928",37.2042051805,15.4224441766,30.6387,10.38665,1.57789279016971,1.28891842093094,0.60450926182653,1.7239435649721
"93","W3-FL","A5_CviMVP_PlDNA_6_D398_CC5D31B4","D398","CC5D31B4","7C86F928",37.2042051805,15.4224441766,30.6387,10.38665,1.57789279016971,1.28891842093094,0.60450926182653,1.7239435649721
"94","W3-FL","E1_CviMVP_PlDNA_6_D400_4BA97D95","D400","4BA97D95","7C86F928",37.2042051805,15.4224441766,30.6387,10.38665,1.57789279016971,1.28891842093094,0.60450926182653,1.7239435649721
"95","W3-FL","C3_CviMVP_PlDNA_6_D401_10669A6B","D401","10669A6B","7C86F928",37.2042051805,15.4224441766,30.6387,10.38665,1.57789279016971,1.28891842093094,0.60450926182653,1.7239435649721
"96","W4-VA","H1_CviMVP_PlDNA_6_D579_7FCD15FF","D579","7FCD15FF","EEF040B2",22.1833333333333,12.5416666666667,26.8416666666667,1.75833333333333,-0.802363202155774,0.751760521040209,-0.48775642981078,-1.1009101245655
"97","W4-VA","E5_CviMVP_PlDNA_7_D586_996E9AB0","D586","996E9AB0","EEF040B2",22.1833333333333,12.5416666666667,26.8416666666667,1.75833333333333,-0.802363202155774,0.751760521040209,-0.48775642981078,-1.1009101245655
"98","W4-VA","A1_CviMVP_PlDNA_6_D588_6E37A595","D588","6E37A595","EEF040B2",22.1833333333333,12.5416666666667,26.8416666666667,1.75833333333333,-0.802363202155774,0.751760521040209,-0.48775642981078,-1.1009101245655
"99","W4-VA","H11_CviMVP_PlDNA_7_D589_0E18187E","D589","0E18187E","EEF040B2",22.1833333333333,12.5416666666667,26.8416666666667,1.75833333333333,-0.802363202155774,0.751760521040209,-0.48775642981078,-1.1009101245655
"100","W4-VA","C2_CviMVP_PlDNA_6_D590_EA869C50","D590","EA869C50","EEF040B2",22.1833333333333,12.5416666666667,26.8416666666667,1.75833333333333,-0.802363202155774,0.751760521040209,-0.48775642981078,-1.1009101245655
"101","W4-VA","D5_CviMVP_PlDNA_6_D591_2A2982D1","D591","2A2982D1","EEF040B2",22.1833333333333,12.5416666666667,26.8416666666667,1.75833333333333,-0.802363202155774,0.751760521040209,-0.48775642981078,-1.1009101245655
"102","W4-VA","G9_CviMVP_PlDNA_7_D592_FC645A7E","D592","FC645A7E","EEF040B2",22.1833333333333,12.5416666666667,26.8416666666667,1.75833333333333,-0.802363202155774,0.751760521040209,-0.48775642981078,-1.1009101245655
"103","W4-VA","C9_CviMVP_PlDNA_7_D594_7BCE38AB","D594","7BCE38AB","EEF040B2",22.1833333333333,12.5416666666667,26.8416666666667,1.75833333333333,-0.802363202155774,0.751760521040209,-0.48775642981078,-1.1009101245655
"104","W4-VA","H6_CviMVP_PlDNA_7_D604_1EDF09A8","D604","1EDF09A8","EEF040B2",22.1833333333333,12.5416666666667,26.8416666666667,1.75833333333333,-0.802363202155774,0.751760521040209,-0.48775642981078,-1.1009101245655
"105","W4-VA","G4_CviMVP_PlDNA_7_D611_9E462FC9","D611","9E462FC9","EEF040B2",22.1833333333333,12.5416666666667,26.8416666666667,1.75833333333333,-0.802363202155774,0.751760521040209,-0.48775642981078,-1.1009101245655
"106","W4-VA","G10_CviMVP_PlDNA_6_D614_78D5022C","D614","78D5022C","EEF040B2",22.1833333333333,12.5416666666667,26.8416666666667,1.75833333333333,-0.802363202155774,0.751760521040209,-0.48775642981078,-1.1009101245655
"107","W4-VA","B5_CviMVP_PlDNA_7_D622_E927EFCC","D622","E927EFCC","EEF040B2",22.1833333333333,12.5416666666667,26.8416666666667,1.75833333333333,-0.802363202155774,0.751760521040209,-0.48775642981078,-1.1009101245655
"108","W4-VA","C3_CviMVP_PlDNA_7_D623_7E2AF84B","D623","7E2AF84B","EEF040B2",22.1833333333333,12.5416666666667,26.8416666666667,1.75833333333333,-0.802363202155774,0.751760521040209,-0.48775642981078,-1.1009101245655
"109","W4-VA","B5_CviMVP_PlDNA_6_D624_09F5417C","D624","09F5417C","EEF040B2",22.1833333333333,12.5416666666667,26.8416666666667,1.75833333333333,-0.802363202155774,0.751760521040209,-0.48775642981078,-1.1009101245655
"110","W4-VA","A2_CviMVP_PlDNA_6_D629_5D57564E","D629","5D57564E","EEF040B2",22.1833333333333,12.5416666666667,26.8416666666667,1.75833333333333,-0.802363202155774,0.751760521040209,-0.48775642981078,-1.1009101245655
"111","W4-VA","G11_CviMVP_PlDNA_7_D631_30CC375A","D631","30CC375A","EEF040B2",22.1833333333333,12.5416666666667,26.8416666666667,1.75833333333333,-0.802363202155774,0.751760521040209,-0.48775642981078,-1.1009101245655
"112","W4-VA","G11_CviMVP_PlDNA_6_D634_3F995AE7","D634","3F995AE7","EEF040B2",22.1833333333333,12.5416666666667,26.8416666666667,1.75833333333333,-0.802363202155774,0.751760521040209,-0.48775642981078,-1.1009101245655
"113","W4-VA","F3_CviMVP_PlDNA_7_D637_1F59F2B8","D637","1F59F2B8","EEF040B2",22.1833333333333,12.5416666666667,26.8416666666667,1.75833333333333,-0.802363202155774,0.751760521040209,-0.48775642981078,-1.1009101245655
"114","W4-VA","C10_CviMVP_PlDNA_6_D639_6DFC5E05","D639","6DFC5E05","EEF040B2",22.1833333333333,12.5416666666667,26.8416666666667,1.75833333333333,-0.802363202155774,0.751760521040209,-0.48775642981078,-1.1009101245655
"115","W4-VA","H4_CviMVP_PlDNA_7_D641_85592D52","D641","85592D52","EEF040B2",22.1833333333333,12.5416666666667,26.8416666666667,1.75833333333333,-0.802363202155774,0.751760521040209,-0.48775642981078,-1.1009101245655
"116","W5-NH","D10_CviMVP_PlDNA_6_D307_57EB20A7","D307","57EB20A7","899DC1AC",30.0444444444444,1.14444444444444,27.162962962963,2.54814814814815,0.443333919751839,-1.37339768099623,-0.395331399402499,-0.842329988963797
"117","W5-NH","C11_CviMVP_PlDNA_6_D309_BEF60DB8","D309","BEF60DB8","899DC1AC",30.0444444444444,1.14444444444444,27.162962962963,2.54814814814815,0.443333919751839,-1.37339768099623,-0.395331399402499,-0.842329988963797
"118","W5-NH","A9_CviMVP_PlDNA_6_D311_3B56D682","D311","3B56D682","899DC1AC",30.0444444444444,1.14444444444444,27.162962962963,2.54814814814815,0.443333919751839,-1.37339768099623,-0.395331399402499,-0.842329988963797
"119","W5-NH","D12_CviMVP_PlDNA_7_D312_C07AA992","D312","C07AA992","899DC1AC",30.0444444444444,1.14444444444444,27.162962962963,2.54814814814815,0.443333919751839,-1.37339768099623,-0.395331399402499,-0.842329988963797
"120","W5-NH","C5_CviMVP_PlDNA_7_D318_3140E558","D318","3140E558","899DC1AC",30.0444444444444,1.14444444444444,27.162962962963,2.54814814814815,0.443333919751839,-1.37339768099623,-0.395331399402499,-0.842329988963797
