"","rownames(env_dist_nb_df)","AC_LIS_CT_2023-10-3","Cal_Lake_LA_2022-8-11","CB_TX_2022-6-9","CC_VA_2022-7-11","CPR_MS_AL_2022-8-24","CS_DB_NJ_2022-9-21","Culch_Ba_LA_2022-6-21","DC_DR_ME_2022-10-25","DC_NB_RI_2022-8-19","DWS_CB_VA_2022-10-7","EC_ApBay_FL_2023-10-4","FFJ_CF_NC_2023-7-19","FP_Sav_GA_2022-6-10","GalBay_TX_2022-6-2","GriceCove_SC_2022-8-10","HC_DB_NJ_2022-9-23","IL_ApBay_FL_2023-10-3","KP_FGR_FL_2022-8-23","LakeFortuna_LA_2022-5-11","LCP_UP_MD_2022-10-20","Mer_GA_2022-7-26","Nickle_Rf_LA_2022-8-1","OL_MI_SC_2022-5-31","Orrs_Cove_ME_2022-10-31","SaLa_GA_2022-10-5","SaltBay_Canada_2022-9-27","Sapelo_Is_GA_2022-7-17","SawIs_MA_2022-9-5","Sister_Lk_LA_2022-8-9","SkR_GA_2022-6-14","SR_GB_NH_2022-8-12","TP_TX_2022-6-28","UNCW_MS_NC_2023-7-17","W1_TX","W6_ME","W4_VA","W3_FL","W2_LA","W5_NH","S1_LOLA","S2_DEBY","Lewisetta","YorkRiver"
"LCP_UP_MD_2022-10-20","LCP_UP_MD_2022-10-20",2.1198,3.2431,4.2807,3.6972,3.5422,2.6508,2.81,4.6274,4.1481,1.4287,3.8712,3.0051,3.3932,2.3963,3.6845,1.0225,3.8521,4.9672,2.5628,0,3.7886,2.2631,4.6816,3.9477,2.9368,3.7432,3.9729,3.3506,2.7548,3.629,2.4555,3.3413,3.9567,4.2807,4.6274,1.4287,4.9672,2.7548,2.4555,0.8405,1.9636,0.977,2.0664
"Mer_GA_2022-7-26","Mer_GA_2022-7-26",3.341,1.1883,1.3949,2.2498,0.4572,2.1733,2.3999,3.7169,3.9461,2.5697,0.8028,0.9266,0.4287,2.4677,0.6418,3.5872,0.8152,1.3949,2.3185,3.7886,0,3.4503,1.8372,3.0705,1.749,4.2469,0.4424,1.6715,2.2415,0.6939,2.6148,1.1833,0.9401,1.3949,3.7169,2.5697,1.3949,2.2415,2.6148,3.1193,2.2485,2.9425,2.0872
"Nickle_Rf_LA_2022-8-1","Nickle_Rf_LA_2022-8-1",3.6288,2.41,3.8303,4.5313,3.0536,3.5636,1.2845,5.551,5.5601,2.5228,3.2468,3.1052,3.1746,1.1579,3.5136,1.456,3.2721,4.6741,1.31,2.2631,3.4503,0,4.8931,4.9286,2.0848,5.4254,3.7811,3.5703,1.3802,3.5655,3.4986,2.5969,4.0986,3.8303,5.551,2.5228,4.6741,1.3802,3.4986,2.4269,2.9478,2.2613,2.915
"OL_MI_SC_2022-5-31","OL_MI_SC_2022-5-31",4.008,2.9654,2.9012,1.4913,2.2515,2.3572,4.0664,2.863,3.0721,3.2835,2.5918,2.1622,1.8811,4.0792,1.4439,4.7153,2.5904,1.1806,3.969,4.6816,1.8372,4.8931,0,2.3818,3.5077,3.7288,1.3969,2.4451,3.9101,1.4368,3.276,3,1.1048,2.9012,2.863,3.2835,1.1806,3.9101,3.276,3.8909,2.7418,3.7708,2.6247
"Orrs_Cove_ME_2022-10-31","Orrs_Cove_ME_2022-10-31",2.903,3.7533,3.8735,1.9408,3.3387,1.4939,4.4543,0.8554,1.1961,2.9516,3.6174,2.7944,2.8518,4.2821,2.7099,4.1134,3.5861,3.0976,4.2723,3.9477,3.0705,4.9286,2.3818,0,4.0231,1.7436,2.844,2.105,4.33,2.77,2.2611,3.8081,2.4073,3.8735,0.8554,2.9516,3.0976,4.33,2.2611,3.3457,2.4055,3.3738,2.2944
"SaLa_GA_2022-10-5","SaLa_GA_2022-10-5",2.9846,0.6694,1.7534,3.4091,1.3278,2.7015,0.9446,4.717,4.8177,2.3097,1.297,1.5373,1.632,0.9472,2.1245,2.5097,1.2993,3.0973,0.785,2.9368,1.749,2.0848,3.5077,4.0231,0,4.8014,2.1699,2.1943,0.7894,2.1341,2.5487,0.6307,2.5078,1.7534,4.717,2.3097,3.0973,0.7894,2.5487,2.5808,2.3938,2.3955,2.2797
"SaltBay_Canada_2022-9-27","SaltBay_Canada_2022-9-27",2.5446,4.7249,4.8658,2.6371,4.4149,2.2215,5.2246,2.1212,0.9695,3.141,4.7183,3.6423,3.9617,4.9251,3.9425,4.2702,4.6695,4.5792,4.9708,3.7432,4.2469,5.4254,3.7288,1.7436,4.8014,0,4.0868,3.218,5.0964,3.8882,2.4811,4.7421,3.5979,4.8658,2.1212,3.141,4.5792,5.0964,2.4811,3.2862,2.7681,3.4318,2.7894
"Sapelo_Is_GA_2022-7-17","Sapelo_Is_GA_2022-7-17",3.4575,1.6088,1.6943,1.9613,0.8745,2.1123,2.791,3.4709,3.7023,2.673,1.2169,1.102,0.6332,2.8448,0.462,3.8349,1.2239,1.0734,2.7062,3.9729,0.4424,3.7811,1.3969,2.844,2.1699,4.0868,0,1.7477,2.6324,0.5092,2.7103,1.6202,0.6097,1.6943,3.4709,2.673,1.0734,2.6324,2.7103,3.256,2.2746,3.09,2.1181
"SawIs_MA_2022-9-5","SawIs_MA_2022-9-5",2.351,2.0079,2.0575,2.4071,1.7938,1.3812,2.7523,2.6941,3.1095,2.4092,1.8195,1.4692,1.5154,2.6388,1.7399,3.1592,1.7779,2.3669,2.5849,3.3506,1.6715,3.5703,2.4451,2.105,2.1943,3.218,1.7477,0,2.6362,1.8648,1.4311,1.9994,1.6328,2.0575,2.6941,2.4092,2.3669,2.6362,1.4311,2.8212,2.0323,2.758,1.8181
"Sister_Lk_LA_2022-8-9","Sister_Lk_LA_2022-8-9",3.3129,1.0913,2.4876,3.7953,1.8151,2.9858,0.1941,4.9859,5.1147,2.3503,1.9026,2.0649,2.0611,0.4264,2.4724,2.1346,1.931,3.5139,0.2457,2.7548,2.2415,1.3802,3.9101,4.33,0.7894,5.0964,2.6324,2.6362,0,2.5295,2.9359,1.2551,3.0167,2.4876,4.9859,2.3503,3.5139,0,2.9359,2.5373,2.5546,2.3312,2.4546
