"","rownames(env_dist_df)","AC_LIS_CT_2023-10-3","Cal_Lake_LA_2022-8-11","CC_VA_2022-7-11","CPR_MS_AL_2022-8-24","CS_DB_NJ_2022-9-21","Culch_Ba_LA_2022-6-21","DC_NB_RI_2022-8-19","EC_ApBay_FL_2023-10-4","FFJ_CF_NC_2023-7-19","FP_Sav_GA_2022-6-10","GalBay_TX_2022-6-2","GriceCove_SC_2022-8-10","HC_DB_NJ_2022-9-23","IL_ApBay_FL_2023-10-3","LakeFortuna_LA_2022-5-11","LCP_UP_MD_2022-10-20","Mer_GA_2022-7-26","Nickle_Rf_LA_2022-8-1","OL_MI_SC_2022-5-31","Orrs_Cove_ME_2022-10-31","SaLa_GA_2022-10-5","SaltBay_Canada_2022-9-27","Sapelo_Is_GA_2022-7-17","SawIs_MA_2022-9-5","SkR_GA_2022-6-14","TP_TX_2022-6-28","UNCW_MS_NC_2023-7-17","W1_TX","W6_ME","W3_FL","W2_LA","W5_NH","W4_VA","S1_LOLA","S2_DEBY","Lewisetta","YorkRiver"
"GalBay_TX_2022-6-2","GalBay_TX_2022-6-2",3.8414,1.8643,4.2057,2.1486,2.9585,0.4537,5.3778,2.7243,2.5944,2.4548,0,3.1672,1.8672,2.7354,1.046,2.4354,3.0035,1.5505,4.3298,4.4408,1.8968,5.0759,3.3166,3.0706,3.201,1.8695,3.5143,2.7381,5.3013,4.0902,0.6854,3.1397,5.1854,2.3656,3.8859,2.1875,3.8364
"GriceCove_SC_2022-8-10","GriceCove_SC_2022-8-10",3.7771,1.6349,1.8543,1.4548,2.5531,3.1312,3.6376,1.4376,1.0965,1.24,3.1672,0,4.1955,1.4573,3.7138,3.927,0.7211,4.4424,1.9439,3.6294,2.1683,4.6704,0.4653,1.8155,0.3551,1.7719,0.8379,2.3718,4.6693,1.3342,3.3203,2.7018,5.0145,3.7702,3.7891,3.6322,3.7105
"HC_DB_NJ_2022-9-23","HC_DB_NJ_2022-9-23",3.7418,3.3829,4.6193,3.4997,2.8904,2.228,5.1332,4.1945,3.5937,3.5367,1.8672,4.1955,0,4.1908,2.0365,1.372,4.2435,1.5643,5.0555,4.1879,3.3513,4.3429,4.4507,3.7638,4.2217,3.4343,4.4559,4.1976,4.9191,5.2288,2.166,3.2919,5.2419,1.4591,3.8683,1.4419,3.8717
"IL_ApBay_FL_2023-10-3","IL_ApBay_FL_2023-10-3",3.7588,0.9825,2.9498,1.2941,3.1199,2.6551,4.5883,0.0932,1.2469,1.529,2.7354,1.4573,4.1908,0,3.3417,4.0721,0.8844,4.235,2.9331,4.3503,1.3119,5.316,1.2472,1.8607,1.4909,0.9067,1.6521,1.4209,5.3655,2.0193,2.9146,2.7416,5.2501,4.0274,4.1734,3.8851,4.0761
"LakeFortuna_LA_2022-5-11","LakeFortuna_LA_2022-5-11",4.4352,2.5703,4.6591,2.4722,3.131,1.0761,5.7883,3.331,3.2115,2.822,1.046,3.7138,2.0365,3.3417,0,2.9293,3.5641,1.3163,4.532,4.4,2.7786,5.0797,3.8242,3.6344,3.7427,2.5043,3.9541,2.9375,5.1073,4.4293,0.5529,3.7455,5.621,2.4135,4.1383,2.2206,4.0862
"LCP_UP_MD_2022-10-20","LCP_UP_MD_2022-10-20",2.9641,3.3767,3.9533,3.571,2.7103,2.8469,4.4177,4.0906,3.2074,3.4871,2.4354,3.927,1.372,4.0721,2.9293,0,4.0312,2.6712,4.85,4.15,3.2151,3.9775,4.2,3.5399,3.8796,3.4384,4.1299,4.3012,5.0745,5.12,2.9131,2.6911,4.8135,1.3408,3.5813,1.435,3.6384
"Mer_GA_2022-7-26","Mer_GA_2022-7-26",3.6346,1.3049,2.2839,1.242,2.7889,2.9457,4.0491,0.8717,1.0007,1.074,3.0035,0.7211,4.2435,0.8844,3.5641,4.0312,0,4.3943,2.1543,3.9322,1.8051,4.9492,0.5444,1.781,0.7633,1.3592,1.0199,1.8719,4.9676,1.4609,3.1548,2.7044,4.848,3.8997,3.711,3.7572,3.618
"Nickle_Rf_LA_2022-8-1","Nickle_Rf_LA_2022-8-1",4.8141,3.3224,5.2999,3.4493,3.7601,1.6473,6.2602,4.2154,3.9779,3.6934,1.5505,4.4424,1.5643,4.235,1.3163,2.6712,4.3943,0,5.3702,5.0477,3.3895,5.5322,4.6566,4.3975,4.4826,3.3632,4.8194,4.1248,5.7088,5.3349,1.4726,4.3122,5.7469,2.4674,4.4503,2.3021,4.431
"OL_MI_SC_2022-5-31","OL_MI_SC_2022-5-31",4.2128,3.1995,1.9634,2.5056,2.7155,4.3158,3.3939,2.9335,2.4863,1.9499,4.3298,1.9439,5.0555,2.9331,4.532,4.85,2.1543,5.3702,0,3.0282,3.795,4.2143,1.9125,2.7662,1.9436,3.2208,1.616,3.134,3.8778,1.6593,4.3002,3.537,4.856,4.3049,3.4476,4.195,3.3563
"Orrs_Cove_ME_2022-10-31","Orrs_Cove_ME_2022-10-31",4.0809,4.3109,3.0673,3.6526,1.6688,4.6133,2.5902,4.3771,3.5775,3.3101,4.4408,3.6294,4.1879,4.3503,4.4,4.15,3.9322,5.0477,3.0282,0,4.7381,1.746,3.7366,3.0178,3.6882,4.3013,3.267,4.1387,1.2017,3.8159,4.4463,3.1109,5.8269,3.4232,4.0214,3.4587,3.9521
"SaLa_GA_2022-10-5","SaLa_GA_2022-10-5",3.4346,0.7877,3.4572,1.7487,3.2276,1.8942,4.9303,1.31,1.5722,2.0043,1.8968,2.1683,3.3513,1.3119,2.7786,3.2151,1.8051,3.3895,3.795,4.7381,0,5.4488,2.2086,2.2794,2.1735,0.8409,2.5578,2.1235,5.7814,3.1553,2.3111,2.6268,4.9872,3.4681,4.0336,3.33,3.9697
"SaltBay_Canada_2022-9-27","SaltBay_Canada_2022-9-27",3.8723,5.2118,3.6152,4.6854,2.3695,5.373,2.5648,5.3599,4.3175,4.3368,5.0759,4.6704,4.3429,5.316,5.0797,3.9775,4.9492,5.5322,4.2143,1.746,5.4488,0,4.7973,3.9127,4.6374,5.1774,4.2696,5.1007,2.2524,5.134,5.202,3.3141,5.9593,3.3749,4.2758,3.5262,4.2848
"Sapelo_Is_GA_2022-7-17","Sapelo_Is_GA_2022-7-17",3.8638,1.6815,1.9677,1.4237,2.7215,3.2681,3.7893,1.2391,1.1328,1.2873,3.3166,0.4653,4.4507,1.2472,3.8242,4.2,0.5444,4.6566,1.9125,3.7366,2.2086,4.7973,0,1.8268,0.5105,1.7399,0.6471,2.0931,4.7666,1.1004,3.4393,2.7835,5.1641,4.0026,3.9523,3.8664,3.8664
"SawIs_MA_2022-9-5","SawIs_MA_2022-9-5",2.858,2.0972,2.4503,2.0951,2.0263,3.1758,3.1502,1.9027,1.5326,1.8578,3.0706,1.8155,3.7638,1.8607,3.6344,3.5399,1.781,4.3975,2.7662,3.0178,2.2794,3.9127,1.8268,0,1.949,2.1159,1.6885,2.3571,4.0342,2.4286,3.3609,1.4346,5.0399,3.5454,3.7663,3.5004,3.6538
"SkR_GA_2022-6-14","SkR_GA_2022-6-14",3.7079,1.6812,1.6839,1.4617,2.5632,3.1883,3.6248,1.4829,0.9654,1.262,3.201,0.3551,4.2217,1.4909,3.7427,3.8796,0.7633,4.4826,1.9436,3.6882,2.1735,4.6374,0.5105,1.949,0,1.7786,0.7628,2.3451,4.7622,1.4707,3.3604,2.6857,4.9738,3.7056,3.7466,3.5699,3.6854
"TP_TX_2022-6-28","TP_TX_2022-6-28",3.6529,0.3626,3.1783,0.9628,2.8876,1.794,4.7909,0.8947,1.2858,1.3997,1.8695,1.7719,3.4343,0.9067,2.5043,3.4384,1.3592,3.3632,3.2208,4.3013,0.8409,5.1774,1.7399,2.1159,1.7786,0,2.0819,1.4535,5.3088,2.5797,2.0579,2.7113,5.0896,3.3635,3.9068,3.198,3.8277
"UNCW_MS_NC_2023-7-17","UNCW_MS_NC_2023-7-17",3.6317,2.08,1.5021,1.6358,2.3605,3.5309,3.2863,1.6735,1.1598,1.3736,3.5143,0.8379,4.4559,1.6521,3.9541,4.1299,1.0199,4.8194,1.616,3.267,2.5578,4.2696,0.6471,1.6885,0.7628,2.0819,0,2.1873,4.329,1.2563,3.6376,2.5161,5.1388,3.8472,3.8117,3.7401,3.7351
"W1_TX","W1_TX",4.0423,1.7674,3.4645,1.3752,3.0726,2.6762,4.9854,1.4599,1.9368,1.8032,2.7381,2.3718,4.1976,1.4209,2.9375,4.3012,1.8719,4.1248,3.134,4.1387,2.1235,5.1007,2.0931,2.3571,2.3451,1.4535,2.1873,0,5.042,2.5331,2.6882,3.0598,5.6554,3.9163,4.3202,3.7772,4.2193
"W6_ME","W6_ME",5.092,5.3179,4.1896,4.6206,2.7795,5.445,3.4503,5.3864,4.706,4.3129,5.3013,4.6693,4.9191,5.3655,5.1073,5.0745,4.9676,5.7088,3.8778,1.2017,5.7814,2.2524,4.7666,4.0342,4.7622,5.3088,4.329,5.042,0,4.6717,5.2229,4.2048,6.6221,4.2741,4.8302,4.3154,4.7475
"W3_FL","W3_FL",4.703,2.5362,2.4598,2.0611,3.2381,3.9744,4.086,1.9972,2.1818,1.9356,4.0902,1.3342,5.2288,2.0193,4.4293,5.12,1.4609,5.3349,1.6593,3.8159,3.1553,5.134,1.1004,2.4286,1.4707,2.5797,1.2563,2.5331,4.6717,0,4.0787,3.6008,5.7408,4.7676,4.5036,4.6237,4.3898
"W2_LA","W2_LA",4.3118,2.0901,4.4114,2.1201,3.0921,0.5661,5.656,2.8958,2.8619,2.5036,0.6854,3.3203,2.166,2.9146,0.5529,2.9131,3.1548,1.4726,4.3002,4.4463,2.3111,5.202,3.4393,3.3609,3.3604,2.0579,3.6376,2.6882,5.2229,4.0787,0,3.5765,5.4557,2.5509,4.0526,2.3424,3.9933
"W5_NH","W5_NH",1.8736,2.733,2.5859,2.818,1.9058,3.4233,2.8598,2.8012,1.9538,2.5709,3.1397,2.7018,3.2919,2.7416,3.7455,2.6911,2.7044,4.3122,3.537,3.1109,2.6268,3.3141,2.7835,1.4346,2.6857,2.7113,2.5161,3.0598,4.2048,3.6008,3.5765,0,4.8047,2.9249,3.5618,2.9743,3.5184
"W4_VA","W4_VA",3.4374,5.0241,5.0045,5.152,4.9682,5.3271,5.5476,5.2598,4.7654,4.4724,5.1854,5.0145,5.2419,5.2501,5.621,4.8135,4.848,5.7469,4.856,5.8269,4.9872,5.9593,5.1641,5.0399,4.9738,5.0896,5.1388,5.6554,6.6221,5.7408,5.4557,4.8047,0,5.0154,1.9868,5.0019,2.0351
"S1_LOLA","S1_LOLA",3.3902,3.3657,3.7128,3.1664,2.1131,2.7326,4.3209,4.0447,3.1244,3.1109,2.3656,3.7702,1.4591,4.0274,2.4135,1.3408,3.8997,2.4674,4.3049,3.4232,3.4681,3.3749,4.0026,3.5454,3.7056,3.3635,3.8472,3.9163,4.2741,4.7676,2.5509,2.9249,5.0154,0,3.3777,0.2657,3.428
"S2_DEBY","S2_DEBY",2.7059,3.8772,3.6946,3.709,3.183,4.0599,4.3143,4.1873,3.4898,3.018,3.8859,3.7891,3.8683,4.1734,4.1383,3.5813,3.711,4.4503,3.4476,4.0214,4.0336,4.2758,3.9523,3.7663,3.7466,3.9068,3.8117,4.3202,4.8302,4.5036,4.0526,3.5618,1.9868,3.3777,0,3.3549,0.2361
"Lewisetta","Lewisetta",3.4806,3.1958,3.6689,2.9851,2.1106,2.535,4.3986,3.8981,3.0137,2.9559,2.1875,3.6322,1.4419,3.8851,2.2206,1.435,3.7572,2.3021,4.195,3.4587,3.33,3.5262,3.8664,3.5004,3.5699,3.198,3.7401,3.7772,4.3154,4.6237,2.3424,2.9743,5.0019,0.2657,3.3549,0,3.399
"YorkRiver","YorkRiver",2.715,3.7971,3.689,3.6256,3.1376,3.9962,4.302,4.0889,3.4383,2.9228,3.8364,3.7105,3.8717,4.0761,4.0862,3.6384,3.618,4.431,3.3563,3.9521,3.9697,4.2848,3.8664,3.6538,3.6854,3.8277,3.7351,4.2193,4.7475,4.3898,3.9933,3.5184,2.0351,3.428,0.2361,3.399,0
