"","site_name","merge_ID_inds","Label_ind","Key_ind","SiteDate_Key","lat.x","lon.x","Mean_Annual_Salinity_ppt","Mean_max_Salinity_ppt","Mean_min_Salinity_ppt","salinity_quantile_10","salinity_quantile_90","lat.y","lon.y","Mean_Annual_Temperature_C","Mean_max_temperature_C","Mean_min_temperature_C","temp_quantile_10","temp_quantile_90","sal_quant10_scaled","sal_quant90_scaled","temp_quant10_scaled","temp_quant90_scaled","LEW_salinity_quantile_10","LEW_salinity_quantile_90","LEW_temp_quantile_10","LEW_temp_quantile_90","LEW_sal_quant10_scaled","LEW_sal_quant90_scaled","LEW_temp_quant10_scaled","LEW_temp_quant90_scaled","YRK_salinity_quantile_10","YRK_salinity_quantile_90","YRK_temp_quantile_10","YRK_temp_quantile_90","YRK_sal_quant10_scaled","YRK_sal_quant90_scaled","YRK_temp_quant10_scaled","YRK_temp_quant90_scaled"
"1.21","S2-DEBY","D7_CviMVP_PlDNA_7_D784_34A74FE2","D784","34A74FE2","D2D83B3C",37.247284,-76.499369,19.33913072,24.18909091,12.90636364,15.81,22.39,37.247284,-76.499369,17.12424242,30.14377273,3.546090909,6.53,27.49,0.428711601072038,-0.129758609295936,-0.858110722615889,-0.0719587231892383,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
"1.22","S2-DEBY","C4_CviMVP_PlDNA_7_D785_C47B78DC","D785","C47B78DC","D2D83B3C",37.247284,-76.499369,19.33913072,24.18909091,12.90636364,15.81,22.39,37.247284,-76.499369,17.12424242,30.14377273,3.546090909,6.53,27.49,0.428711601072038,-0.129758609295936,-0.858110722615889,-0.0719587231892383,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
"1.23","S2-DEBY","D5_CviMVP_PlDNA_7_D787_2CA6DD38","D787","2CA6DD38","D2D83B3C",37.247284,-76.499369,19.33913072,24.18909091,12.90636364,15.81,22.39,37.247284,-76.499369,17.12424242,30.14377273,3.546090909,6.53,27.49,0.428711601072038,-0.129758609295936,-0.858110722615889,-0.0719587231892383,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
"1.24","S2-DEBY","B2_CviMVP_PlDNA_6_D793_D9ED7A3F","D793","D9ED7A3F","D2D83B3C",37.247284,-76.499369,19.33913072,24.18909091,12.90636364,15.81,22.39,37.247284,-76.499369,17.12424242,30.14377273,3.546090909,6.53,27.49,0.428711601072038,-0.129758609295936,-0.858110722615889,-0.0719587231892383,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
"1.25","S2-DEBY","E5_CviMVP_PlDNA_6_D799_2051A6AC","D799","2051A6AC","D2D83B3C",37.247284,-76.499369,19.33913072,24.18909091,12.90636364,15.81,22.39,37.247284,-76.499369,17.12424242,30.14377273,3.546090909,6.53,27.49,0.428711601072038,-0.129758609295936,-0.858110722615889,-0.0719587231892383,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
"1.26","S2-DEBY","A7_CviMVP_PlDNA_6_D800_5ED99B1F","D800","5ED99B1F","D2D83B3C",37.247284,-76.499369,19.33913072,24.18909091,12.90636364,15.81,22.39,37.247284,-76.499369,17.12424242,30.14377273,3.546090909,6.53,27.49,0.428711601072038,-0.129758609295936,-0.858110722615889,-0.0719587231892383,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
"1.27","S2-DEBY","D1_CviMVP_PlDNA_6_D801_31F0D11D","D801","31F0D11D","D2D83B3C",37.247284,-76.499369,19.33913072,24.18909091,12.90636364,15.81,22.39,37.247284,-76.499369,17.12424242,30.14377273,3.546090909,6.53,27.49,0.428711601072038,-0.129758609295936,-0.858110722615889,-0.0719587231892383,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
"1.28","S2-DEBY","H5_CviMVP_PlDNA_6_D807_DAA1A356","D807","DAA1A356","D2D83B3C",37.247284,-76.499369,19.33913072,24.18909091,12.90636364,15.81,22.39,37.247284,-76.499369,17.12424242,30.14377273,3.546090909,6.53,27.49,0.428711601072038,-0.129758609295936,-0.858110722615889,-0.0719587231892383,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
"1.29","S2-DEBY","F7_CviMVP_PlDNA_7_D813_85474216","D813","85474216","D2D83B3C",37.247284,-76.499369,19.33913072,24.18909091,12.90636364,15.81,22.39,37.247284,-76.499369,17.12424242,30.14377273,3.546090909,6.53,27.49,0.428711601072038,-0.129758609295936,-0.858110722615889,-0.0719587231892383,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
"1.30","S2-DEBY","A4_CviMVP_PlDNA_6_D815_8F42E9B6","D815","8F42E9B6","D2D83B3C",37.247284,-76.499369,19.33913072,24.18909091,12.90636364,15.81,22.39,37.247284,-76.499369,17.12424242,30.14377273,3.546090909,6.53,27.49,0.428711601072038,-0.129758609295936,-0.858110722615889,-0.0719587231892383,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
