#YY MM DD hh mm DEPTH OTMP COND SAL O2% O2PPM CLCON TURB PH EH
2016 01 06 21 00 1.0 8.70 999.00 16.80 999.0 8.40 7.30 2 99.00 99.00
2016 01 06 22 00 1.0 8.60 999.00 15.40 999.0 99.00 7.90 2 99.00 99.00
2016 01 06 23 00 1.0 8.20 999.00 14.90 999.0 99.00 8.60 2 99.00 99.00
2016 01 07 00 00 1.0 8.00 999.00 14.50 999.0 10.20 6.90 2 99.00 99.00
2016 01 07 01 00 1.0 8.00 999.00 14.40 999.0 11.00 7.50 2 99.00 99.00
2016 01 07 02 00 1.0 7.90 999.00 14.30 999.0 11.20 7.30 2 99.00 99.00
2016 01 07 03 00 1.0 7.80 999.00 14.30 999.0 99.00 7.00 2 99.00 99.00
2016 01 07 04 00 1.0 7.80 999.00 14.20 999.0 12.00 6.80 2 99.00 99.00
2016 01 07 05 00 1.0 7.70 999.00 14.10 999.0 11.90 6.30 2 99.00 99.00
2016 01 07 06 00 1.0 7.60 999.00 13.90 999.0 11.90 6.30 2 99.00 99.00
2016 01 07 07 00 1.0 7.70 999.00 13.90 999.0 11.90 6.10 2 99.00 99.00
2016 01 07 08 00 1.0 7.70 999.00 14.10 999.0 12.00 5.60 2 99.00 99.00
2016 01 07 09 00 1.0 7.80 999.00 14.30 999.0 11.80 5.60 2 99.00 99.00
2016 01 07 10 00 1.0 7.50 999.00 14.00 999.0 12.00 5.60 2 99.00 99.00
2016 01 07 11 00 1.0 7.30 999.00 13.80 999.0 11.50 5.90 2 99.00 99.00
2016 01 07 12 00 1.0 7.30 999.00 13.90 999.0 11.40 7.00 2 99.00 99.00
2016 01 07 13 00 1.0 7.50 999.00 14.20 999.0 99.00 8.60 2 99.00 99.00
2016 01 07 14 00 1.0 7.60 999.00 14.50 999.0 11.70 6.90 2 99.00 99.00
2016 01 07 15 00 1.0 7.70 999.00 14.80 999.0 99.00 4.60 2 99.00 99.00
2016 01 07 16 00 1.0 7.70 999.00 14.90 999.0 99.00 4.20 2 99.00 99.00
2016 01 07 17 00 1.0 7.80 999.00 15.20 999.0 11.60 3.30 2 99.00 99.00
2016 01 07 18 00 1.0 7.90 999.00 15.60 999.0 11.60 4.60 2 99.00 99.00
2016 01 07 19 00 1.0 8.00 999.00 16.00 999.0 11.40 5.20 2 99.00 99.00
2016 01 07 20 00 1.0 8.10 999.00 16.00 999.0 11.30 6.10 2 99.00 99.00
2016 01 07 21 00 1.0 8.20 999.00 16.00 999.0 11.50 8.20 2 99.00 99.00
2016 01 07 22 00 1.0 8.20 999.00 15.20 999.0 12.20 8.90 2 99.00 99.00
2016 01 07 23 00 1.0 8.40 999.00 15.30 999.0 12.20 8.50 2 99.00 99.00
2016 01 08 00 00 1.0 8.30 999.00 15.20 999.0 12.40 8.50 2 99.00 99.00
2016 01 08 01 00 1.0 8.10 999.00 14.60 999.0 12.70 9.20 2 99.00 99.00
2016 01 08 02 00 1.0 8.20 999.00 14.80 999.0 12.50 8.50 2 99.00 99.00
2016 01 08 03 00 1.0 8.20 999.00 15.20 999.0 12.10 7.40 2 99.00 99.00
2016 01 08 04 00 1.0 8.20 999.00 15.30 999.0 11.90 7.20 2 99.00 99.00
2016 01 08 05 00 1.0 8.20 999.00 15.60 999.0 11.60 7.40 2 99.00 99.00
2016 01 08 06 00 1.0 8.20 999.00 15.70 999.0 11.40 6.80 2 99.00 99.00
